Index,Facility_Name,Source_Facility_Type,ODCAF_Facility_Type,Provider,Unit,Street_No,Street_Name,Postal_Code,City,Prov_Terr,Source_Format_Address,CSD_Name,CSDUID,PRUID,Latitude,Longitude
4647,Heritage Meats Ltd,organic - butcher shop & specialty store,heritage or historic site,township of langley,1,19689,willowbrook dr,..,township of langley,bc,..,Langley,5915001,59,49.11720987,-122.677601
4655,Heritage Mountain Community Centre,..,heritage or historic site,port moody,..,200,panorama place,..,port moody,bc,200 panorama place,Port Moody,5915043,59,49.30175173,-122.8302526
4682,Heritage Restoration Inc,construction & renovation,heritage or historic site,township of langley,..,22011,maxwell cres,..,township of langley,bc,..,Langley,5915001,59,49.12391227,-122.6138616
4690,Heritage Steel Sales Ltd,steel business,heritage or historic site,township of langley,..,9718,197b st,..,township of langley,bc,..,Langley,5915001,59,49.17880512,-122.6739862
4719,Highland Dance With Miss Kathleen,individual artists,artist,new westminster,..,65,sixth avenue east,..,new-westminster,bc,65 east sixth avenue,New Westminster,5915029,59,49.22121254,-122.9077281
4722,Hill's Native Art,museum/gallery,museum,vancouver,..,165,water st,V6B 1A7,vancouver,bc,165 water st vancouver bc v6b 1a7,Vancouver,5915022,59,49.2844721,-123.1081528
4739,Historic Stewart Farm,attraction,heritage or historic site,surrey,..,..,..,..,surrey,bc,..,Surrey,5915004,59,49.06508535,-122.8420091
4745,Historical Museum,city cultural,museum,new westminster,..,302,royal ave,..,new-westminster,bc,..,New Westminster,5915029,59,49.20762944,-122.9062113
4770,Hornby Island Branch,vancouver island regional library,library or archives,government of british columbia,..,1765,sollans road,V0R 1Z0,coquitlam,bc,1765 sollans road,Comox Valley A,5926021,59,49.53205,-124.664679
4783,Hot Art Wet City,museum/gallery,museum,vancouver,..,2206,main st,V5T 3C7,vancouver,bc,2206 main st vancouver bc v5t 3c7,Vancouver,5915022,59,49.2653981,-123.1007282
4802,Hudson's Hope Public Library,hudson's hope public library,library or archives,government of british columbia,..,9905,dudley drive,V0C 1V0,surrey,bc,9905 dudley drive,Hudson's Hope,5955025,59,56.025816,-121.913228
4830,Ian Tan Gallery,museum/gallery,gallery,vancouver,..,2202,granville st,V6H 4H7,vancouver,bc,2202 granville st vancouver bc v6h 4h7,Vancouver,5915022,59,49.2661646,-123.1383868
4833,Ice Box Gallery,museum/gallery,gallery,vancouver,..,321,railway st,V6A 1A4,vancouver,bc,321 railway st vancouver bc v6a 1a4,Vancouver,5915022,59,49.2846363,-123.097645
4839,Il Museo,museum/gallery,museum,vancouver,..,3075,slocan st,V5M 3E4,vancouver,bc,3075 slocan st vancouver bc v5m 3e4,Vancouver,5915022,59,49.256761,-123.049576
4857,Improv Centre,theatre/performance,theatre/performance and concert hall,vancouver,..,1502,duranleau st,V6H 3S4,vancouver,bc,1502 duranleau st vancouver bc v6h 3s4,Vancouver,5915022,59,49.270764,-123.136248
4879,Institute For Stained Glass In Canada,other,miscellaneous,canadian museums association,..,3545,third avenue west,V6R 1L8,vancouver,bc,3545 west third avenue vancouver british columbia v6r 1l8 canada,New Westminster,5915029,59,49.2023677,-122.9264296
4889,Interurban Gallery,museum/gallery,gallery,vancouver,..,1,hastings st e,V6A 1M9,vancouver,bc,1 e hastings st vancouver bc v6a 1m9,Vancouver,5915022,59,49.2815282,-123.1043161
4891,Inuit Gallery of Vancouver,museum/gallery,gallery,vancouver,..,206,cambie st,V6B 2M9,vancouver,bc,206 cambie st vancouver bc v6b 2m9,Vancouver,5915022,59,49.2842455,-123.1088083
4921,Italian Cultural Centre Society,exhibition or cultural centre,art or cultural centre,canadian museums association,..,3075,slocan street,V5M 3E4,vancouver,bc,3075 slocan street vancouver british columbia v5m 3e4 canada,Vancouver,5915022,59,49.256735,-123.050468
4944,James Black Gallery,museum/gallery,gallery,vancouver,..,144,6th av e,V5T 1J5,vancouver,bc,144 e 6th av vancouver bc v5t1j5,Vancouver,5915022,59,49.2652632,-123.1019214
4948,James Tan Gallery,museum/gallery,gallery,vancouver,..,437,columbia st,V6A 2R9,vancouver,bc,437 columbia st vancouver bc v6a 2r9,Vancouver,5915022,59,49.2810853,-123.1023067
4953,Janet Kvammen,individual artists,artist,new westminster,5,720,sixth street,..,new-westminster,bc,box #5 720 sixth street,New Westminster,5915029,59,49.21466644,-122.9229655
4968,Jennifer Kostuik Gallery,museum/gallery,gallery,vancouver,..,1070,homer st,V6B 2W9,vancouver,bc,1070 homer st vancouver bc v6b 2w9,Vancouver,5915022,59,49.2766268,-123.1211143
4970,Jericho Arts Centre,theatre/performance,theatre/performance and concert hall,vancouver,..,1675,discovery st west,V6R 2K5,vancouver,bc,1675 discovery st vancouver bc v6r 2k5,Vancouver,5915022,59,49.272369,-123.202893
4972,Jerry Mclaughlin,individual artists,artist,new westminster,..,406,buchanan avenue,..,new-westminster,bc,406 buchanan avenue,New Westminster,5915029,59,49.22821217,-122.8960336
4975,Jewish Historical Society of Bc,..,heritage or historic site,canadian museums association,..,6184,ash street,V5Z 3G9,vancouver,bc,6184 ash street vancouver bc v5z 3g9,Vancouver,5915022,59,49.2654274,-123.1174214
4977,Jienelyn Dimatatac,"producing shows, entertainment, concerts",miscellaneous,burnaby,..,5266,dominion st,..,burnaby,bc,5266 dominion st,Burnaby,5915025,59,49.25586782,-122.9878278
4980,Joann Heringer,individual artists,artist,new westminster,..,..,..,..,new-westminster,bc,..,New Westminster,5915029,59,49.19109951,-122.9398739
