id,pop,lat,lon,score
59150024001,0,49.3415,-123.2653,0.35572111569173104
59150024002,15,49.3407,-123.2645,0.35736327018684705
59150024005,86,49.3412,-123.2618,0.3523794084446671
59150024006,83,49.3398,-123.2598,0.357275148910896
59150024012,42,49.3389,-123.2517,0.354795088756594
59150024015,0,49.339,-123.2552,0.34147284466214395
59150024016,32,49.3392,-123.2532,0.351178620231362
59150024017,84,49.3401,-123.2546,0.35514488767435104
59150025001,87,49.3519,-123.2626,0.333837200287523
59150025004,32,49.34,-123.2663,0.34564996073330795
59150025007,68,49.3396,-123.2482,0.346705878695985
59150025008,286,49.3496,-123.2675,0.338777227212468
59150025009,119,49.3365,-123.2629,0.33244104494890103
59150025010,17,49.3403,-123.265,0.345433001463014
59150027004,512,49.3316,-123.1763,0.477211825864245
59150027005,55,49.3346,-123.1864,0.467357096191236
59150028001,30,49.3371,-123.1896,0.4408338984429339
59150028012,123,49.335,-123.1808,0.482566789960576
59150028013,66,49.3349,-123.184,0.48281996343534
59150028014,25,49.3358,-123.1871,0.46264085040004105
59150028015,19,49.3364,-123.1897,0.43689538848976595
59150028017,60,49.3338,-123.1809,0.47724803336484095
59150028018,109,49.3362,-123.1856,0.47223457904119204
59150028019,10,49.3343,-123.1808,0.49300330914129203
59150029001,30,49.338,-123.1895,0.429374723992109
59150029002,61,49.338,-123.1872,0.438549202140983
59150029003,29,49.3373,-123.1868,0.44795192095615605
59150029005,55,49.338,-123.1839,0.45633643431814097
59150029006,71,49.3379,-123.1807,0.44789064044127
59150029007,66,49.337,-123.1807,0.46975286189389
59150029008,15,49.33600000000001,-123.1806,0.477487961766745
59150029010,96,49.3369,-123.1838,0.47355500287968705
59150030001,19,49.3409,-123.1894,0.371432287529596
59150030004,21,49.339,-123.1893,0.413112040279428
59150030005,61,49.3389,-123.1871,0.43836364840717895
59150030006,49,49.3399,-123.1871,0.412937154454101
59150030007,68,49.3409,-123.1871,0.371840104708606
59150030008,70,49.3408,-123.1838,0.43284466112421605
59150030009,50,49.3399,-123.1839,0.43284466112421605
59150030010,47,49.3389,-123.1839,0.44377631505602294
59150030011,50,49.3388,-123.1807,0.44789064044127
59150030012,66,49.3398,-123.1806,0.431696323887864
59150030013,5,49.34,-123.1894,0.40355733810048605
59150031003,187,49.3415,-123.1799,0.42892120161834
59150031004,65,49.3422,-123.1874,0.35876081343339794
59150031005,24,49.3421,-123.1894,0.36699280288489
59150031009,404,49.3437,-123.1825,0.24669359800721302
59150031010,0,49.3455,-123.1863,0.22228071274046599
59150032001,80,49.341,-123.1954,0.382130792517221
59150032004,37,49.3381,-123.1968,0.39053583599000896
59150032009,45,49.3367,-123.1929,0.414073400234918
59150032010,105,49.3396,-123.1968,0.378506951042759
59150032011,133,49.3398,-123.1915,0.382064200758113
59150033002,56,49.3452,-123.1945,0.221546468494737
59150033003,51,49.3424,-123.194,0.365896945430355
59150033004,23,49.3429,-123.1974,0.36907028571808204
59150033007,0,49.3472,-123.1908,0.223487388156604
59150033008,343,49.3456,-123.1986,0.21200357075291298
59150033009,0,49.3467,-123.205,0.34561994135978197
59150033010,0,49.3461,-123.2182,0.171280111278416
59150033011,0,49.3465,-123.2194,0.12009499443946801
59150034001,234,49.3439,-123.2016,0.212079999801245
59150034002,47,49.3409,-123.2012,0.388479549739384
59150034003,153,49.3418,-123.2061,0.383875826903534
59150035005,0,49.3443,-123.1741,0.251067079863209
59150035008,100,49.3429,-123.1698,0.268921183854063
59150035011,0,49.3458,-123.1771,0.272509920388339
59150035012,202,49.345,-123.1761,0.25570426904219895
59150035013,0,49.3454,-123.179,0.254449922797275
59150035014,0,49.344,-123.1735,0.25009566689018103
59150035015,258,49.348,-123.1838,0.0482996746786229
59150035016,328,49.3498,-123.1865,0.0480196570416189
59150036001,43,49.3426,-123.1718,0.265807933561848
59150036002,124,49.3416,-123.1725,0.267747777193672
59150036003,41,49.3406,-123.1718,0.284622482800144
59150036004,81,49.3396,-123.1727,0.438815210649755
59150036005,108,49.3406,-123.1759,0.434388743457925
59150036006,93,49.3397,-123.1769,0.443829322909216
59150036007,85,49.3388,-123.1769,0.44355898075503103
59150037001,39,49.3414,-123.1693,0.28664072544248304
59150037002,45,49.3405,-123.1693,0.296236636592633
59150037003,54,49.3396,-123.1694,0.304910401372976
59150037004,68,49.3387,-123.1694,0.431307236269248
59150037005,80,49.3387,-123.1727,0.438815210649755
