"","miscellaneous.fromId","miscellaneous.nearest3","miscellaneous.sd3"
"116","59150028012",0.360839706102864,0.477281383283976
"117","59150028013",0.360839706102864,0.477281383283976
"118","59150028014",0.395078722447143,0.496083534811876
"119","59150028015",0.395739991003149,0.528726659077538
"120","59150028017",0.368627980206928,0.474678852965221
"121","59150028018",0.377959214275004,0.495919955435924
"122","59150028019",0.345263157894737,0.488247950674095
"123","59150029001",0.417047533363323,0.530369411293485
"124","59150029002",0.41792922477133,0.517514863089256
"125","59150029003",0.412639076323287,0.501213444775929
"126","59150029005",0.406467236467236,0.464358974905101
"127","59150029006",0.414990253411306,0.463032519658159
"128","59150029007",0.383837156995052,0.46976820056482
"129","59150029008",0.368627980206928,0.474678852965221
"130","59150029010",0.376930574298995,0.473483821904722
"131","59150030001",0.465614035087719,0.596057500678009
