"","library.or.archives.fromId","library.or.archives.nearest3","library.or.archives.sd3"
"116","59150028012",0.233876143349828,0.477294536143481
"117","59150028013",0.233876143349828,0.477294536143481
"118","59150028014",0.267894736842105,0.467431657972619
"119","59150028015",0.269952016794122,0.51441177758011
"120","59150028017",0.242178737441895,0.478034317063603
"121","59150028018",0.249893537261958,0.476200222763578
"122","59150028019",0.217491378017694,0.465236665879791
"123","59150029001",0.290892187734293,0.508477137215495
"124","59150029002",0.290671764882291,0.494202870390469
"125","59150029003",0.285308142150247,0.473838662627076
"126","59150029005",0.282810016494227,0.462075034342742
"127","59150029006",0.29294946768631,0.459100341887658
"128","59150029007",0.259224771330035,0.465901880550033
"129","59150029008",0.242178737441895,0.478034317063603
"130","59150029010",0.250922177237967,0.471970039713541
"131","59150030001",0.341001649422702,0.429989480658442
