"","heritage.or.historic.site.fromId","heritage.or.historic.site.nearest1","heritage.or.historic.site.sd1"
"115","59150028001",0.409185784975258,0.524302156000543
"116","59150028012",0.369730094466936,0.503691149713075
"117","59150028013",0.369730094466936,0.503691149713075
"118","59150028014",0.403675213675214,0.483457193372616
"119","59150028015",0.404116059379217,0.5491366465003
"120","59150028017",0.378547008547009,0.502334267968493
"121","59150028018",0.384718848403059,0.498786604985156
"122","59150028019",0.351655420602789,0.517645569632846
"123","59150029001",0.427040035987404,0.519467398802047
"124","59150029002",0.427260458839406,0.495737879962665
"125","59150029003",0.421749887539361,0.479198253695704
"126","59150029005",0.42152946468736,0.477095260035552
"127","59150029006",0.432109761583446,0.486620533575548
"128","59150029007",0.396842105263158,0.484461156732509
"129","59150029008",0.378547008547009,0.502334267968493
"130","59150029010",0.387143499775079,0.491695349532202
"131","59150030001",0.470022492127755,0.594398694572108
