"","gallery.fromId","gallery.nearest1","gallery.sd1"
"116","59150028012",0.125942420152947,0.452710698662942
"117","59150028013",0.125942420152947,0.452710698662942
"118","59150028014",0.163414304993252,0.473552015714285
"119","59150028015",0.167381916329285,0.505278899657568
"120","59150028017",0.134318488529015,0.456023362254422
"121","59150028018",0.14600089968511,0.484304994709083
"122","59150028019",0.109190283400809,0.454360156125321
"123","59150029001",0.186779127305443,0.501946650670086
"124","59150029002",0.186338281601439,0.486711975581736
"125","59150029003",0.180827710301395,0.475769353812717
"126","59150029005",0.172672064777328,0.442837068828026
"127","59150029006",0.182811515969411,0.429415457718905
"128","59150029007",0.149968511021143,0.440071895995855
"129","59150029008",0.134318488529015,0.456023362254422
"130","59150029010",0.142914979757085,0.450942480005277
"131","59150030001",0.23791722896986,0.590555448048406
"132","59150030004",0.200665766981557,0.53344881038879
