"fromId","mean_score","lat","lon","pop","amn_density","trafficScore","need","efficiency"
"59153069007",0.92,49.2548,-122.8972,0.95,0.67,0.96,0.99,-0.104166666666667
"59153070001",0.3,49.2634,-122.9508,0.3,0.48,1,0.65,-0.395833333333333
"59153070002",0.11,49.2648,-122.9434,0.69,0.35,1,0.79,-0.739583333333333
"59153070005",0.18,49.2605,-122.9432,0.47,0.5,1,0.75,-0.625
"59153070006",0.2,49.26,-122.9476,0.61,0.52,1,0.83,-0.6875
"59153071001",0.1,49.2594,-122.9442,0.72,0.52,1,0.89,-0.854166666666667
"59153071002",0.29,49.2584,-122.9432,0.59,0.54,1,0.83,-0.59375
"59153071003",0.28,49.2578,-122.9457,0.53,0.53,1,0.8,-0.572916666666667
"59153071006",0.31,49.2578,-122.9423,0.74,0.54,1,0.91,-0.65625
"59153072001",0.55,49.2362,-123.0123,0.72,0.58,0.82,0.83,-0.322916666666667
"59153072002",0.61,49.2348,-123.0123,0.92,0.57,0.82,0.93,-0.364583333333333
"59153072003",0.6,49.2348,-123.01,0.87,0.57,0.82,0.9,-0.34375
"59153072004",0.48,49.2362,-123.01,0.6,0.57,0.82,0.76,-0.322916666666667
"59153073001",0.52,49.2356,-123.0068,0.72,0.57,0.8,0.81,-0.333333333333333
"59153073002",0.62,49.2348,-123.0081,0.89,0.57,0.82,0.91,-0.333333333333333
"59153073003",0.73,49.2335,-123.01,0.91,0.58,0.82,0.93,-0.239583333333333
"59153074001",0.67,49.2335,-123.0123,0.97,0.57,0.82,0.94,-0.3125
"59153075002",0.59,49.2413,-123.0259,0.87,0.64,0.96,0.98,-0.4375
"59153075004",0.5,49.2423,-123.0255,0.24,0.64,0.98,0.69,-0.229166666666667
"59153075005",0.54,49.24,-123.0246,0.54,0.63,0.96,0.83,-0.333333333333333
"59153076001",0.55,49.244,-123.027,0.3,0.64,0.98,0.72,-0.208333333333333
"59153076002",0.54,49.2436,-123.0257,0.52,0.64,0.98,0.84,-0.34375
"59153076003",0.49,49.2435,-123.0243,0.43,0.64,0.98,0.79,-0.34375
"59153077001",0.52,49.2442,-123.0308,0.3,0.65,0.96,0.72,-0.239583333333333
"59153077004",0.61,49.2428,-123.0295,0.82,0.65,0.98,0.97,-0.40625
"59153077005",0.56,49.2437,-123.0287,0.7,0.65,0.98,0.93,-0.416666666666667
"59153078001",0.49,49.2466,-123.026,0.81,0.65,0.96,0.96,-0.520833333333333
"59153078007",0.52,49.2453,-123.026,0.93,0.64,0.96,0.99,-0.520833333333333
"59153079001",0.49,49.2458,-123.0312,0.88,0.65,0.96,0.98,-0.541666666666667
"59153079002",0.47,49.2449,-123.0312,0.86,0.65,0.96,0.98,-0.5625
"59153080001",0.57,49.2475,-123.0324,0.63,0.66,0.96,0.9,-0.375
"59153080002",0.51,49.2466,-123.0312,0.86,0.65,0.96,0.98,-0.520833333333333
"59153080003",0.54,49.2475,-123.0298,0.69,0.65,0.96,0.92,-0.427083333333333
"59153081001",0.45,49.2196,-123.0538,0.63,0.62,0.56,0.66,-0.25
"59153081002",0.26,49.2185,-123.0527,0.66,0.6,0.56,0.68,-0.46875
"59153081003",0.42,49.2196,-123.0517,0.53,0.6,0.6,0.62,-0.239583333333333
"59153082001",0.26,49.2176,-123.0522,0.45,0.59,0.56,0.52,-0.302083333333333
"59153082002",0.21,49.2159,-123.0526,0.79,0.57,0.56,0.72,-0.5625
"59153082003",0.34,49.2166,-123.0543,0.25,0.59,0.56,0.4,-0.0937500000000001
"59153083001",0.34,49.2145,-123.0578,0.13,0.57,0.56,0.33,-0.0208333333333334
"59153083002",0.26,49.2153,-123.0549,0.45,0.56,0.56,0.51,-0.291666666666667
"59153083003",0.26,49.2139,-123.0543,0.28,0.54,0.56,0.4,-0.177083333333333
"59153083005",0.36,49.2124,-123.0587,0.32,0.56,0.56,0.43,-0.104166666666667
"59153083006",0.31,49.2132,-123.0561,0.72,0.55,0.56,0.68,-0.416666666666667
"59153083007",0.34,49.2131,-123.0569,0.13,0.56,0.56,0.32,-0.0104166666666666
"59153084001",0.48,49.2169,-123.0894,0.85,0.63,0.54,0.78,-0.34375
"59153084002",0.4,49.2169,-123.0867,0.75,0.62,0.54,0.72,-0.364583333333333
"59153084003",0.37,49.2156,-123.0855,0.13,0.61,0.54,0.34,0
"59153084004",0.39,49.2169,-123.0843,0.77,0.61,0.54,0.72,-0.375
"59153085001",0.54,49.2178,-123.0894,0.72,0.63,0.54,0.71,-0.208333333333333
"59153085002",0.42,49.2178,-123.0866,0.74,0.63,0.54,0.72,-0.34375
"59153085003",0.38,49.2178,-123.0843,0.67,0.62,0.54,0.68,-0.34375
"59153086001",0.41,49.2195,-123.0854,0.89,0.64,0.54,0.8,-0.4375
"59153086002",0.4,49.2186,-123.0854,0.89,0.64,0.54,0.8,-0.447916666666667
"59153087001",0.53,49.2195,-123.0893,0.81,0.64,0.54,0.76,-0.270833333333333
"59153087002",0.55,49.2187,-123.0894,0.65,0.64,0.54,0.68,-0.166666666666667
"59153087003",0.47,49.2202,-123.087,0.91,0.64,0.54,0.82,-0.395833333333333
"59153088001",0.45,49.2212,-123.0855,0.97,0.64,0.54,0.85,-0.447916666666667
"59153089001",0.64,49.2231,-123.0895,0.77,0.76,0.54,0.8,-0.197916666666667
"59153089002",0.56,49.2231,-123.0867,0.79,0.71,0.54,0.79,-0.270833333333333
"59153089003",0.55,49.2223,-123.0869,0.87,0.69,0.54,0.82,-0.3125
"59153090001",0.57,49.2204,-123.0926,0.8,0.66,0.41,0.7,-0.166666666666667
"59153090002",0.54,49.2196,-123.0929,0.85,0.65,0.41,0.72,-0.21875
"59153090003",0.55,49.2187,-123.0929,0.86,0.64,0.41,0.72,-0.208333333333333
"59153091001",0.49,49.2178,-123.0944,0.97,0.63,0.41,0.77,-0.322916666666667
"59153092001",0.46,49.2169,-123.0944,0.79,0.62,0.41,0.67,-0.25
"59153092002",0.47,49.2162,-123.096,0.83,0.62,0.41,0.69,-0.260416666666667
"59153093001",0.49,49.2153,-123.096,0.8,0.62,0.41,0.68,-0.229166666666667
"59153093002",0.5,49.2146,-123.096,0.13,0.61,0.41,0.28,0.197916666666667
"59153093003",0.53,49.2138,-123.096,0.82,0.61,0.41,0.68,-0.1875
"59153093004",0.51,49.2139,-123.0999,0.77,0.61,0.41,0.65,-0.177083333333333
"59153094001",0.47,49.2154,-123.0999,0.85,0.63,0.41,0.71,-0.28125
"59153094002",0.5,49.2146,-123.0999,0.78,0.62,0.41,0.66,-0.197916666666667
"59153095001",0.54,49.2132,-123.1012,0.52,0.62,0.41,0.49,0.0208333333333333
"59153095002",0.57,49.2122,-123.1012,0.51,0.61,0.41,0.48,0.0625
"59153095003",0.58,49.2113,-123.1012,0.39,0.61,0.41,0.41,0.145833333333333
"59153095004",0.55,49.2121,-123.0991,0.68,0.61,0.41,0.6,-0.0833333333333333
"59153095005",0.52,49.2131,-123.0991,0.61,0.61,0.41,0.55,-0.0625000000000001
"59153096001",0.56,49.2137,-123.1043,0.82,0.62,0.41,0.69,-0.166666666666667
