,Player,Stage,career_FG_%,career_FT_%,career_3PT_%,Minutes_per_game
162,Bob Sura,Regular_Season,42.75,72.3,34.01,24.5
163,Boban Marjanovic,Playoffs,58.57,82.14,0.0,10.98
164,Boban Marjanovic,Regular_Season,61.54,74.81,40.0,11.74
165,Bobby Jackson,Playoffs,40.81,79.65,27.45,23.62
166,Bobby Jackson,Regular_Season,42.18,79.46,36.06,21.26
167,Bobby Portis,Playoffs,51.52,,46.15,20.13
168,Bobby Portis,Regular_Season,46.76,74.68,35.38,19.88
169,Bobby Simmons,Playoffs,33.33,,41.67,31.76
170,Bobby Simmons,Regular_Season,45.15,81.86,41.6,29.51
171,Bogdan Bogdanovic,Regular_Season,43.4,80.6,37.39,28.17
172,Bojan Bogdanovic,Playoffs,40.0,80.3,35.17,28.52
173,Bojan Bogdanovic,Regular_Season,46.03,85.8,39.37,28.51
174,Bonzi Wells,Playoffs,45.54,64.74,27.59,23.39
175,Bonzi Wells,Regular_Season,46.18,70.87,33.6,25.46
176,Boris Diaw,Playoffs,50.39,73.56,33.57,26.41
177,Boris Diaw,Regular_Season,49.63,71.57,34.19,27.62
178,Bostjan Nachbar,Playoffs,42.11,95.45,37.5,23.39
179,Bostjan Nachbar,Regular_Season,41.72,80.29,38.87,20.42
180,Brad Miller,Playoffs,47.79,74.23,25.93,26.56
181,Brad Miller,Regular_Season,48.29,81.2,33.26,31.76
182,Brad Wanamaker,Playoffs,48.33,87.5,44.44,16.04
183,Brad Wanamaker,Regular_Season,44.75,92.65,36.27,19.28
184,Bradley Beal,Playoffs,43.95,82.29,36.26,39.91
185,Bradley Beal,Regular_Season,45.62,81.18,37.85,35.44
186,Brandan Wright,Playoffs,83.33,50.0,,15.07
187,Brandan Wright,Regular_Season,64.19,69.64,0.0,19.31
188,Brandon Bass,Playoffs,46.93,89.24,0.0,26.7
189,Brandon Bass,Regular_Season,49.47,83.14,21.15,24.84
190,Brandon Clarke,Regular_Season,61.8,75.89,35.94,22.41
191,Brandon Ingram,Regular_Season,45.94,72.25,35.97,32.21
192,Brandon Jennings,Playoffs,37.56,78.85,24.39,23.36
193,Brandon Jennings,Regular_Season,38.68,79.07,34.94,31.95
194,Brandon Knight,Regular_Season,41.51,77.08,35.6,32.37
195,Brandon Paul,Regular_Season,43.31,51.16,27.78,9.0
196,Brandon Roy,Playoffs,44.22,80.88,32.56,30.61
197,Brandon Roy,Regular_Season,46.94,78.91,34.91,37.39
198,Brandon Rush,Playoffs,45.0,50.0,33.33,7.86
199,Brandon Rush,Regular_Season,43.75,71.43,41.35,24.43
200,Brendan Haywood,Playoffs,55.88,59.39,,22.05
201,Brendan Haywood,Regular_Season,53.7,59.11,0.0,23.99
202,Brent Barry,Playoffs,44.8,79.22,41.41,19.89
203,Brent Barry,Regular_Season,46.75,82.04,40.8,27.64
204,Brevin Knight,Playoffs,26.09,81.82,,20.2
205,Brevin Knight,Regular_Season,38.42,81.48,0.0,17.65
206,Brian Cardinal,Playoffs,39.13,72.73,0.0,19.5
207,Brian Cardinal,Regular_Season,47.21,87.82,44.35,21.5
208,Brian Cook,Playoffs,39.13,100.0,36.36,11.19
209,Brian Cook,Regular_Season,46.38,78.92,40.2,16.7
210,Brian Grant,Playoffs,43.32,70.15,0.0,25.09
211,Brian Grant,Regular_Season,48.33,77.46,16.67,30.12
212,Brian Roberts,Regular_Season,41.0,91.9,35.31,19.46
213,Brian Scalabrine,Playoffs,43.75,78.57,48.72,15.18
214,Brian Scalabrine,Regular_Season,38.93,79.25,32.03,13.33
215,Brian Shaw,Playoffs,37.11,77.42,30.37,16.68
216,Brian Shaw,Regular_Season,38.47,75.47,32.56,16.3
217,Brian Skinner,Playoffs,52.38,41.67,,18.8
218,Brian Skinner,Regular_Season,51.8,58.04,66.67,15.57
219,Brook Lopez,Playoffs,48.69,83.46,34.11,33.23
220,Brook Lopez,Regular_Season,49.22,79.42,34.07,30.57
221,Bruce Bowen,Playoffs,39.58,55.28,42.56,31.3
222,Bruce Bowen,Regular_Season,41.34,58.24,39.75,28.47
223,"Bruce Brown, Jr.",Regular_Season,42.44,74.3,30.16,23.36
224,Bruno Fernando,Regular_Season,51.76,56.86,13.51,12.72
225,Bryant Reeves,Regular_Season,46.01,79.58,25.0,24.43
226,Bryant Stith,Regular_Season,40.1,84.54,37.6,32.1
227,Bryce Drew,Regular_Season,38.26,84.91,36.2,17.96
228,Bryn Forbes,Playoffs,42.86,80.0,42.5,21.93
229,Bryn Forbes,Regular_Season,43.42,80.0,40.41,23.95
230,Bryon Russell,Playoffs,39.81,80.7,35.37,37.11
