id,lat,lon
59150112001,49.339,-123.1029
59150112002,49.3384,-123.1027
59150112003,49.3381,-123.1033
59150112004,49.3376,-123.1028
59150112005,49.3381,-123.1019
59150112006,49.337,-123.1019
59150112007,49.3357,-123.1021
59150112008,49.3361,-123.1019
59150112009,49.3355,-123.1
59150112010,49.334,-123.0978
59150112012,49.3371,-123.1036
59150112014,49.3333,-123.1062
59150112017,49.3353,-123.1047
59150113002,49.3289,-123.1151
59150113005,49.3285,-123.1135
59150114001,49.332,-123.1116
59150114002,49.3315,-123.1117
59150114003,49.3315,-123.1089
59150114004,49.3305,-123.1117
59150114005,49.3293,-123.1118
59150114006,49.3289,-123.114
59150114007,49.3281,-123.1117
59150115001,49.3305,-123.109
59150115003,49.3282,-123.109
59150115004,49.327,-123.1089
59150115005,49.3282,-123.1062
59150115007,49.3293,-123.1076
59150116001,49.3314,-123.1061
59150116002,49.3305,-123.1062
59150116003,49.3304,-123.1034
59150116004,49.3314,-123.1034
59150116005,49.3317,-123.099
59150116006,49.3315,-123.0927
59150116007,49.3292,-123.1026
59150116008,49.3293,-123.1039
59150117001,49.3389,-123.1007
59150117002,49.3383,-123.101
59150117003,49.338,-123.1005
59150117004,49.338,-123.0997
59150117005,49.3372,-123.1007
59150117006,49.3379,-123.0987
59150117007,49.336,-123.0975
59150117008,49.3362,-123.0965
59150117009,49.3346,-123.0934
59150117010,49.3348,-123.0959
59150117011,49.3339,-123.0963
59150117012,49.3357,-123.0987
59150118001,49.3448,-123.1201
59150118002,49.3438,-123.1218
59150118003,49.3456,-123.1215
59150119001,49.3516,-123.11
59150119003,49.3506,-123.1092
59150119004,49.3483,-123.1138
59150119005,49.3492,-123.1159
59150120001,49.348,-123.1051
59150120002,49.3476,-123.1084
59150120003,49.3481,-123.1044
59150121002,49.3478,-123.0994
59150121004,49.3481,-123.1013
59150121005,49.3481,-123.1025
59150121006,49.3506,-123.1008
59150122001,49.3543,-123.1055
59150122002,49.3516,-123.1059
59150122003,49.3549,-123.1035
59150122004,49.3553,-123.1026
59150122005,49.3558,-123.1016
59150123001,49.3585,-123.1033
59150123003,49.3567,-123.1046
59150123004,49.3567,-123.1014
59150123006,49.3581,-123.0984
59150123007,49.3567,-123.0984
59150123008,49.3576,-123.1032
59150124001,49.3554,-123.0995
59150124002,49.3554,-123.097
59150124003,49.3543,-123.0965
59150124004,49.3528,-123.0965
59150124005,49.3513,-123.0952
59150124006,49.3506,-123.0953
59150124007,49.3511,-123.0937
59150124008,49.3516,-123.0929
59150124009,49.3553,-123.0939
59150124010,49.3534,-123.094
59150124011,49.3513,-123.0915
59150124012,49.3523,-123.091
59150125001,49.3586,-123.0938
59150125002,49.3576,-123.0922
59150125003,49.3567,-123.0922
59150125004,49.3567,-123.0953
59150125005,49.3576,-123.0953
59150126001,49.3554,-123.0911
59150126002,49.3553,-123.0893
59150126003,49.3539,-123.0884
59150126004,49.354,-123.0868
59150126005,49.3531,-123.0888
59150126006,49.3535,-123.0915
59150126007,49.3549,-123.0926
59150126008,49.3513,-123.0893
59150126009,49.3522,-123.0891
59150127001,49.3603,-123.0915
59150127003,49.3569,-123.0877
59150127004,49.3563,-123.0892
59150127005,49.355,-123.0868
59150127006,49.3553,-123.0835
59150127007,49.3586,-123.0862
59150127008,49.3568,-123.081
59150129001,49.349,-123.0941
59150129002,49.348,-123.094
59150129003,49.3473,-123.0941
59150129004,49.3472,-123.0922
59150129005,49.3483,-123.0917
59150129006,49.3484,-123.0906
59150129007,49.3488,-123.0896
59150129008,49.3492,-123.0886
59150129009,49.3502,-123.0893
59150130001,49.351,-123.0848
59150130002,49.3509,-123.0823
59150130003,49.3469,-123.0854
59150131001,49.3495,-123.082
59150131002,49.3483,-123.082
59150131003,49.3483,-123.0805
59150131004,49.3473,-123.0821
59150131005,49.348,-123.0788
59150131006,49.3469,-123.0763
59150132001,49.3535,-123.0805
59150132002,49.3517,-123.0795
59150132003,49.3505,-123.0775
59150132004,49.3495,-123.0748
59150133001,49.3447,-123.0778
59150133002,49.3447,-123.0766
59150133003,49.3439,-123.0748
59150133004,49.3447,-123.0728
59150133005,49.3437,-123.0778
59150133006,49.3428,-123.0767
59150133007,49.3424,-123.0738
59150133008,49.3429,-123.0731
59150133009,49.3428,-123.0722
59150133010,49.3419,-123.0723
59150134001,49.3448,-123.0828
59150134002,49.3436,-123.0802
59150135001,49.3414,-123.0762
59150135002,49.3404,-123.0761
59150135003,49.3407,-123.0778
59150135004,49.3397,-123.0761
59150135005,49.3388,-123.0762
59150135006,49.3388,-123.0735
