"fromId","mean_score","pop_norm","prox_score","scoreCorrection","eff","eff_ravg","pop.y","lat.y","lon.y"
"59152987002",0.0572535204222944,0.0597335701598579,0.182970323731228,0.571179782864416,0.91453556018375,NA,200,49.2643,-122.7933
"59152987006",0.0500947467816546,0.0405861456483126,0.01,0.639147262664635,0.802371784441883,NA,123,49.2618,-122.8004
"59152987007",0.0556212807351492,0.0254174067495559,0.01,0.639147262664635,0.847951903040727,NA,62,49.2633,-122.8
"59152987008",0.0463275081956528,0.0393428063943162,0.162108591215623,0.571179782864416,0.91646698661749,NA,118,49.2614,-122.7991
"59152987009",0.0376094348798981,0.171385435168739,0.18057400558817,0.571179782864416,0.894904228352113,NA,649,49.2623,-122.794
"59152988001",0.0608467691499042,0.0112433392539964,0.216754003737343,0.571179782864416,0.922927966871362,NA,5,49.2668,-122.7882
"59152988002",0.0698836977610564,0.0137300177619893,0.250188338602217,0.571179782864416,0.923310835035167,NA,15,49.2657,-122.7841
"59152988004",0.0657280430986708,0.111207815275311,0.250157877443514,0.571179782864416,0.911450682220083,NA,407,49.2636,-122.7866
"59152988006",0.0577428645326934,0.0348667850799289,0.196105447559123,0.571179782864416,0.919003173433334,NA,100,49.2645,-122.7903
"59152988007",0.0557178698514041,0.0637122557726465,0.211331809876218,0.571179782864416,0.915201777138012,NA,216,49.2642,-122.7891
"59152988008",0.0607963410852718,0.0557548845470693,0.226137640715534,0.571179782864416,0.917108558472673,NA,184,49.2646,-122.7879
"59152988009",0.0609118782974508,0.030639431616341,0.244024887310907,0.571179782864416,0.920729716680198,NA,83,49.265,-122.7869
"59152989001",0.0797684277108934,0.01,0.26322198021466,0.571179782864416,0.924332490892829,NA,0,49.2649,-122.7807
"59152989002",0.083527844729786,0.0251687388987567,0.265232125610333,0.571179782864416,0.922828990030797,NA,61,49.2643,-122.7808
"59152989003",0.101415979292351,0.0162166962699822,0.276673232953722,0.571179782864416,0.924848708730418,NA,25,49.2634,-122.7787
"59152989004",0.110462497400483,0.0139786856127886,0.272732105424879,0.571179782864416,0.92554180411289,NA,16,49.2626,-122.7794
"59152989006",0.0893211306926766,0.0833570159857904,0.266311050296541,0.571179782864416,0.916615169627212,NA,295,49.2629,-122.7827
"59152989007",0.0878377167221416,0.0749023090586146,0.268363790160125,0.571179782864416,0.917550416127251,NA,261,49.2622,-122.7835
"59152989009",0.0902774876460904,0.0741563055062167,0.266125030097601,0.571179782864416,0.917691642154037,NA,258,49.2614,-122.7842
"59152989012",0.0932676882589965,0.0749023090586146,0.267431373883475,0.571179782864416,0.917805382391485,NA,261,49.2637,-122.7818
"59152989013",0.0725836913081589,0.0353641207815275,0.263934416832239,0.571179782864416,0.921088404374031,NA,102,49.2621,-122.7862
"59152989014",0.106800586005004,0.01,0.267674166191299,0.571179782864416,0.925765422515043,NA,0,49.2617,-122.7812
"59152990001",0.0605923785994504,0.0482948490230906,0.236766101652726,0.571179782864416,0.918369986943938,NA,154,49.269,-122.7854
"59152990002",0.0679085738744506,0.0637122557726465,0.23280483239987,0.571179782864416,0.916670311206408,NA,216,49.269,-122.7839
"59152990003",0.0741984979326885,0.0321314387211368,0.231383844785172,0.571179782864416,0.921027125060408,NA,89,49.269,-122.7827
"59152990009",0.0683060620037739,0.120657193605684,0.243800949433412,0.571179782864416,0.910081163701494,NA,445,49.2673,-122.7812
"59152991002",0.061739369121654,0.0234280639431616,0.26557054463214,0.571179782864416,0.921888685515977,NA,54,49.2738,-122.7867
"59152991003",0.0667338260914729,0.0167140319715808,0.244423255110407,0.571179782864416,0.922742623675836,NA,27,49.2724,-122.7867
"59152991005",0.064482832483775,0.0244227353463588,0.228790625666278,0.571179782864416,0.921478571866674,NA,58,49.2706,-122.7868
"59152991010",0.0735291431109115,0.01,0.229857025283453,0.571179782864416,0.923841347905833,NA,0,49.2714,-122.7906
"59152991012",0.0706900814544076,0.01,0.287566075581149,0.571179782864416,0.923953695674571,NA,0,49.2739,-122.7889
"59152991014",0.062326048283825,0.148259325044405,0.227744296034591,0.571179782864416,0.905104633602446,NA,556,49.2706,-122.7879
"59152992001",0.0517374288690507,0.0216873889875666,0.228400101080022,0.571179782864416,0.921164233943794,NA,47,49.2772,-122.7827
"59152992004",0.0614389685750117,0.0259147424511545,0.251309608246662,0.571179782864416,0.921427755489228,NA,64,49.2738,-122.7853
"59152992006",0.0680796231400292,0.0216873889875666,0.247480825400235,0.571179782864416,0.922237830470427,NA,47,49.2721,-122.7852
