"fromId","n_amenities"
"59150042002",12
"59150042006",14
"59150042007",14
"59150042008",15
"59150042011",12
"59150043004",16
"59150044001",15
"59150044002",17
"59150044003",18
"59150045001",18
"59150045002",18
"59150045003",20
"59150045004",18
"59150046001",19
"59150046002",20
"59150047001",18
"59150047002",18
"59150047003",19
"59150048002",15
"59150048003",17
"59150048004",18
"59150048005",15
"59150048006",18
"59150048007",18
"59150048010",15
"59150049001",12
"59150049002",14
"59150049003",14
"59150049004",15
"59150049008",18
"59150049010",15
"59150049011",15
"59150049012",14
"59150049013",15
"59150050002",16
"59150050003",16
"59150050004",18
"59150050005",19
"59150050006",18
"59150050007",18
"59150050008",18
"59150050010",15
"59150051001",18
"59150051002",19
"59150051003",21
"59150051004",19
"59150051005",19
"59150051006",20
"59150051009",19
"59150051010",19
"59150052001",19
"59150052002",19
"59150052003",19
"59150052004",19
"59150052009",21
"59150052010",21
"59150052011",20
"59150053001",19
"59150053003",19
"59150053004",21
"59150053005",21
"59150053006",19
"59150054001",21
"59150054002",21
"59150054003",21
"59150054005",21
"59150054009",54
"59150054010",26
"59150055001",21
"59150055002",21
"59150055006",21
"59150055009",21
"59150055010",21
"59150055011",21
"59150055013",21
"59150055014",21
"59150056001",16
"59150056002",18
"59150056003",18
"59150056004",18
"59150056006",18
"59150056007",18
"59150056009",18
"59150056011",20
"59150056012",20
"59150056015",22
"59150056016",18
"59150056017",19
"59150056019",20
"59150056020",18
"59150056022",18
"59150056024",20
"59150056025",24
"59150056026",104
"59150056027",24
"59150059001",30
"59150059002",35
"59150059009",50
"59150059010",27
"59150059013",34
"59150059014",61
"59150062003",26
"59150064001",35
"59150064002",25
"59150064003",26
"59150064004",34
"59150064005",28
"59150064006",37
"59150064007",39
"59150064008",43
"59150064009",32
"59150067007",28
"59150067008",39
"59150067009",28
"59150068004",28
"59150068005",28
"59150069003",25
"59150069004",25
"59150069005",28
"59150070001",28
"59150070002",28
"59150070003",25
"59150070004",25
"59150070005",25
"59150070006",25
"59150070007",25
"59150070008",25
"59150070009",25
"59150071001",28
"59150071002",25
"59150071003",26
"59150071004",25
"59150071012",23
"59150071013",26
"59150071020",23
"59150071021",23
"59150071023",25
"59150071026",23
"59150071031",25
"59150071032",25
"59150071033",25
"59150071034",23
"59150071035",23
"59150072001",23
"59150072002",23
"59150072003",23
"59150072004",26
"59150072005",24
"59150072006",25
"59150072007",25
"59150072008",24
"59150072011",25
"59150072012",25
"59150073001",22
"59150073002",21
"59150073003",25
"59150073004",23
"59150073005",25
"59150073006",25
"59150073007",26
"59150074001",24
"59150074002",24
"59150075003",21
"59150075004",21
"59150075005",21
"59150075006",24
"59150075007",24
"59150075008",24
"59150075009",23
"59150075010",24
"59150075011",21
"59150076001",21
"59150076002",21
"59150076006",21
"59150076007",22
"59150077001",22
"59150077002",22
"59150077003",22
"59150077005",24
"59150077006",24
"59150077007",22
"59150077008",22
"59150078005",22
"59150078007",22
"59150078008",24
"59150078009",24
"59150079001",21
"59150079002",21
"59150079003",21
"59150079004",21
"59150080003",21
"59150080004",21
"59150080005",21
"59150081001",21
"59150081005",21
"59150081006",21
"59150081007",21
"59150081008",21
"59150081009",21
"59150081010",21
"59150081011",21
"59150082001",21
"59150082002",21
"59150083001",21
"59150083002",21
"59150084001",21
"59150084002",21
"59150085001",20
"59150085002",19
"59150086002",17
"59150086003",19
"59150086004",19
"59150087001",18
"59150088001",17
"59150089001",17
"59150089002",16
"59150089003",17
"59150090001",17
"59150090002",17
"59150090003",16
"59150090004",16
"59150091001",17
"59150091002",17
"59150092001",19
"59150092002",17
"59150093001",20
"59150093002",19
"59150094001",21
"59150094002",19
"59150094003",21
"59150095001",21
"59150095002",21
"59150095003",21
"59150095004",21
"59150095005",21
"59150096001",21
"59150096002",21
"59150096003",21
"59150096004",21
"59150096005",21
"59150096006",21
"59150096007",21
"59150097001",21
"59150097002",21
"59150097003",21
"59150097004",21
"59150097007",20
"59150097008",19
"59150097009",18
"59150097010",17
"59150098003",21
"59150098004",21
"59150099001",21
"59150099004",21
"59150100001",21
"59150100002",21
"59150100003",21
"59150100004",21
"59150100005",21
"59150100006",21
"59150100007",21
"59150101001",17
"59150101002",17
"59150101003",18
"59150101004",21
"59150102002",20
"59150102003",21
"59150102004",21
"59150103001",19
"59150103003",19
"59150103004",20
"59150103005",19
"59150103006",19
"59150103008",19
"59150104001",19
"59150104002",19
"59150104003",19
"59150104004",19
"59150104005",19
"59150104006",19
"59150104007",19
"59150104008",19
"59150105001",19
"59150105002",19
"59150105003",19
"59150105004",19
"59150105005",19
"59150105006",19
"59150105007",19
"59150105008",19
"59150105009",19
