fromId,type,avg_time,toId,sd_time,time_group
59150375001,gallery,18.02564,5638,1.512878,15-30
59150375001,library or archives,12.92308,5134,0.2699528,<15
59150375001,museum,27.20513,4783,1.239259,15-30
59150375001,theatre/performance and concert hall,27.61538,9581,1.041643,15-30
59150375002,gallery,18.17949,5638,1.519553,15-30
59150375002,library or archives,12.92308,5134,0.2699528,<15
59150375002,museum,27.33333,4783,1.154701,15-30
59150375002,theatre/performance and concert hall,27.76923,9581,0.9308044,15-30
59150375003,gallery,20.33333,5638,1.527525,15-30
59150375003,library or archives,14,5134,0.4268328,<15
59150375003,museum,27.82051,4783,1.354754,15-30
59150375003,theatre/performance and concert hall,28.17949,9581,1.072915,15-30
59150375004,gallery,19.25641,5638,1.534137,15-30
59150375004,library or archives,12,5134,0.4268328,<15
59150375004,museum,27.33333,4783,1.059626,15-30
59150375004,theatre/performance and concert hall,27.76923,9581,0.9020893,15-30
59150375005,gallery,20.84615,5638,1.662884,15-30
59150375005,library or archives,13.97436,5134,0.1601282,<15
59150375005,museum,28.58974,4783,1.229419,15-30
59150375005,theatre/performance and concert hall,28.79487,9581,1.080436,15-30
59150375006,gallery,22.35897,5638,1.547276,15-30
59150375006,library or archives,15.89744,5134,0.3835342,15-30
59150375006,museum,29.66667,4783,1.242521,45-60
59150375006,theatre/performance and concert hall,29.82051,9581,1.166908,45-60
59150375007,gallery,20.33333,5638,1.527525,15-30
59150375007,library or archives,17.76923,5134,1.245234,15-30
59150375007,museum,28.94872,4783,1.375514,15-30
59150375007,theatre/performance and concert hall,29.25641,9581,0.9925498,45-60
59150376001,gallery,16.28205,5638,1.746406,15-30
59150376001,library or archives,15.61538,5134,0.7818798,15-30
59150376001,museum,25.69231,4783,1.320961,15-30
59150376001,theatre/performance and concert hall,26.30769,9581,1.103913,15-30
59150376002,gallery,18.17949,5638,1.519553,15-30
59150376002,library or archives,17.28205,5134,1.190947,15-30
59150376002,museum,26.48718,4783,1.097168,15-30
59150376002,theatre/performance and concert hall,26.92308,9581,0.928627,15-30
59150376003,gallery,18.02564,5638,1.512878,15-30
59150376003,library or archives,13.94872,5134,0.2234559,<15
59150376003,museum,27.64103,4783,1.266723,15-30
59150376003,theatre/performance and concert hall,28.30769,9581,1.055159,15-30
59150376004,gallery,20.33333,5638,1.527525,15-30
59150376004,library or archives,18.61538,5134,1.161111,15-30
59150376004,museum,27.51282,4783,1.315331,15-30
59150376004,theatre/performance and concert hall,27.76923,9581,1.037749,15-30
59150377001,gallery,22.5641,5638,1.428928,15-30
59150377001,library or archives,20.97436,5134,1.347262,15-30
59150377001,museum,26.53846,4783,1.274159,15-30
59150377001,theatre/performance and concert hall,26.30769,9581,1.238714,15-30
59150377002,gallery,22.66667,5638,1.544657,15-30
59150377002,library or archives,20.46154,5134,1.188678,15-30
59150377002,museum,27.53846,4783,1.294648,15-30
59150377002,theatre/performance and concert hall,27.35897,9581,1.224469,15-30
59150377003,gallery,23.79487,5638,1.657193,15-30
59150377003,library or archives,20.71795,8405,0.971941,15-30
59150377003,museum,26.46154,4783,1.334682,15-30
59150377003,theatre/performance and concert hall,26.20513,9581,1.196035,15-30
59150377004,gallery,23.87179,5638,1.360717,15-30
59150377004,library or archives,21.84615,5134,1.328602,15-30
59150377004,museum,29.71795,4783,1.276276,45-60
59150377004,theatre/performance and concert hall,29.61538,9581,1.138221,45-60
59150377005,gallery,21.84615,5638,1.725024,15-30
59150377005,library or archives,19.48718,5134,1.232708,15-30
59150377005,museum,29,4783,1.376494,15-30
59150377005,theatre/performance and concert hall,29.07692,9581,1.060899,45-60
59150378001,gallery,19.07692,5638,1.402716,15-30
59150378001,library or archives,19.66667,8405,1.008734,15-30
59150378001,museum,22.71795,4783,1.050031,15-30
59150378001,theatre/performance and concert hall,22.4359,9581,0.9401812,15-30
59150378002,gallery,21.48718,5638,1.393062,15-30
59150378002,library or archives,20.12821,8405,1.030572,15-30
59150378002,museum,24.89744,4783,1.231064,15-30
59150378002,theatre/performance and concert hall,24.61538,9581,1.041643,15-30
59150378003,gallery,21.69231,5638,1.52443,15-30
59150378003,library or archives,20.12821,8405,1.030572,15-30
59150378003,museum,24.41026,4783,1.351762,15-30
59150378003,theatre/performance and concert hall,24.12821,9581,1.260315,15-30
59150379001,gallery,21.92308,5638,1.840832,15-30
59150379001,library or archives,18.41026,8405,1.093472,15-30
59150379001,museum,23.76923,4783,1.223918,15-30
59150379001,theatre/performance and concert hall,23.48718,9581,1.072915,15-30
59150379002,gallery,22.05128,5638,1.87713,15-30
59150379002,library or archives,18.64103,8405,0.902837,15-30
59150379002,museum,24.74359,4783,1.250641,15-30
59150379002,theatre/performance and concert hall,24.61538,9581,1.041643,15-30
59150379003,gallery,22.12821,5638,2.35282,15-30
59150379003,library or archives,17.48718,8405,1.048101,15-30
59150379003,museum,24.15385,4783,1.424198,15-30
59150379003,theatre/performance and concert hall,24.02564,9581,1.287331,15-30
59150379004,gallery,24.46154,5638,2.490468,15-30
59150379004,library or archives,20.61538,8405,0.9351438,15-30
59150379004,museum,26.89744,4783,1.372567,15-30
59150379004,theatre/performance and concert hall,26.89744,9581,1.046168,15-30
59150379005,gallery,24.51282,5638,1.876051,15-30
59150379005,library or archives,21.28205,8405,0.9986496,15-30
59150379005,museum,27.53846,4783,1.519109,15-30
59150379005,theatre/performance and concert hall,27.53846,9581,1.294648,15-30
59150379006,gallery,23.94872,5638,1.555106,15-30
59150379006,library or archives,20.71795,8405,0.971941,15-30
59150379006,museum,26.82051,4783,1.144134,15-30
59150379006,theatre/performance and concert hall,26.66667,9581,1.059626,15-30
59150380001,gallery,22.87179,5638,2.515002,15-30
59150380001,library or archives,17.64103,8405,0.902837,15-30
59150380001,museum,25.02564,4783,1.385777,15-30
59150380001,theatre/performance and concert hall,24.92308,9581,1.20054,15-30
59150380002,gallery,24.51282,5638,2.490739,15-30
59150380002,library or archives,19.12821,8405,1.004712,15-30
59150380002,museum,26.92308,4783,1.345257,15-30
59150380002,theatre/performance and concert hall,26.92308,9581,1.08542,15-30
59150380003,gallery,25.66667,5638,2.376788,15-30
59150380003,library or archives,20.51282,8405,0.9423318,15-30
59150380003,museum,28.12821,4783,1.360717,15-30
59150380003,theatre/performance and concert hall,28.05128,9581,1.050031,15-30
59150381001,gallery,26.4359,5638,2.468697,15-30
59150381001,library or archives,21.69231,8405,0.9501758,15-30
59150381001,museum,29.23077,4783,1.54684,45-60
59150381001,theatre/performance and concert hall,29.25641,9581,1.163433,45-60
59150381002,gallery,27.05128,5638,2.459661,15-30
59150381002,library or archives,22.58974,8405,0.9380256,15-30
59150381002,museum,30.07692,4783,1.402716,30-45
59150381002,theatre/performance and concert hall,30.23077,9581,0.9586597,30-45
59150381003,gallery,27.33333,5638,2.106798,15-30
59150381003,library or archives,23.12821,5134,1.672997,15-30
59150381003,museum,30.58974,4783,1.332152,30-45
59150381003,theatre/performance and concert hall,30.84615,9581,0.9329766,30-45
59150381004,gallery,28.53846,5638,1.683451,15-30
59150381004,library or archives,22.58974,5134,1.601282,15-30
59150381004,museum,31.92308,4783,1.402716,30-45
59150381004,theatre/performance and concert hall,32.07692,9581,1.08542,30-45
59150382001,gallery,24.23077,5638,2.276442,15-30
59150382001,library or archives,14.94872,8405,0.2234559,<15
59150382001,museum,24,9348,1.025978,15-30
59150382001,theatre/performance and concert hall,24,6954,1.025978,15-30
59150382002,gallery,26.02564,5638,2.241794,15-30
59150382002,library or archives,16.87179,8405,0.4690128,15-30
59150382002,museum,25.28205,9348,1.050031,15-30
59150382002,theatre/performance and concert hall,25.28205,6954,1.050031,15-30
59150382003,gallery,27.30769,5638,2.363693,15-30
59150382003,library or archives,17.89744,8405,0.3835342,15-30
59150382003,museum,26.51282,9348,1.072915,15-30
59150382003,theatre/performance and concert hall,26.51282,6954,1.072915,15-30
59150382004,gallery,28.41026,5638,2.256196,15-30
59150382004,library or archives,20.07692,8405,0.7740738,15-30
59150382004,museum,27.74359,9348,0.9925498,15-30
59150382004,theatre/performance and concert hall,27.74359,6954,0.9925498,15-30
59150383001,gallery,28.94872,5638,2.405572,15-30
59150383001,library or archives,20.71795,8405,0.971941,15-30
59150383001,museum,28.23077,9348,0.8417256,15-30
59150383001,theatre/performance and concert hall,28.23077,6954,0.8417256,15-30
59150383002,gallery,29.48718,5638,2.125928,45-60
59150383002,library or archives,21.76923,8405,1.111224,15-30
59150383002,museum,29.15385,9348,0.6703676,45-60
59150383002,theatre/performance and concert hall,29.15385,6954,0.6703676,45-60
59150383003,gallery,30.41026,5638,1.887883,30-45
59150383003,library or archives,22.69231,8405,1.217284,15-30
59150383003,museum,29.66667,9348,0.7723284,45-60
59150383003,theatre/performance and concert hall,29.66667,6954,0.7723284,45-60
59150383004,gallery,30.5641,5638,1.586039,30-45
59150383004,library or archives,22.4359,5134,1.569359,15-30
59150383004,museum,29,9348,0.9459053,15-30
59150383004,theatre/performance and concert hall,29,6954,0.9459053,15-30
59150384001,gallery,25.15385,5638,2.265746,15-30
59150384001,library or archives,13,8405,0.4268328,<15
