Index,Latitude,Longitude,ODCAF_Facility_Type,Facility_Name,City,Branch_Id,Postal_Code_y,Total_Volumes,Annual_Visitors,Total_Space,Hrs_per_Year,Days_per_Year,Weight
3775,49.26,-123.14,library or archives,Firehall Branch,surrey,BVA007,V6H 1J8,1.0,1.0,1.0,3369,355.0,1.0
3973,49.22,-123.07,library or archives,Fraserview,vancouver,BVA008,V5P 2A8,0.043498182820360866,0.08694435824254504,0.02105292202417085,2570,309.0,0.050498487695692255
4442,49.19,-122.8,library or archives,Guildford,maple ridge,BSUR004,V3R 7G8,0.06433635957077533,0.132572246833656,0.033772970586612217,3422,346.0,0.07689385899701452
4537,49.28,-123.05,library or archives,Hastings,vancouver,BVA009,V5K 1Z6,0.016189341748973053,0.036126913833272115,0.01321670989459743,2419,309.0,0.0218443218256142
4982,49.29,-123.14,library or archives,Joe Fortes,vancouver,BVA010,V6G 2L8,0.03195175829777737,0.07466909263851897,0.01608630870261023,2364,309.0,0.04090238654630219
5134,49.25,-123.08,library or archives,Kensington,vancouver,BVA011,V5N 5Z1,0.02317569789589281,0.08017311989340092,0.01666574692345897,2468,309.0,0.0400048549042509
5139,49.23,-123.16,library or archives,Kerrisdale,vancouver,BVA012,V6M 2B6,0.023197678203228232,0.06687569260132119,0.020390706914629436,2570,309.0,0.036821359239726285
5212,49.26,-123.17,library or archives,Kitsilano,vancouver,BVA013,V6K 3Y9,0.035735752745213574,0.08031455432869673,0.022377352243253684,2556,309.0,0.04614255310572133
5570,49.22,-122.6,library or archives,Library,maple ridge,BABF013,V2X 5Z6,0.022500226143546624,0.092909990192843,0.030434302742674245,3101,345.0,0.04861483969302129
5572,49.02,-122.8,library or archives,Library,white rock,BABF024,V4B 1Y6,0.022646479726970765,0.2126578120766357,0.01997682247116605,3101,345.0,0.0850937047582575
5792,49.21,-122.92,library or archives,Main Branch,langley,BNW001,V3M 2B3,0.018240273502654968,0.005651678588432529,0.007367143093648254,1300,298.0,0.010419698394911915
5988,49.21,-123.14,library or archives,Marpole,vancouver,BVA014,V6P 4Z7,0.031433530282523034,0.1553706488835746,0.01123006456597318,3061,354.0,0.06601141457735694
6064,49.28,-123.0,library or archives,Mcgill Library,burnaby,BB003,V5C 2G6,0.13637005369112765,0.22733539078127243,0.05099056343468904,3329,341.0,0.13823200263569638
6347,49.26,-123.1,library or archives,Mount Pleasant,vancouver,BVA015,V5T 3H7,0.04083011166841523,0.08285104881663932,0.01796258484631091,2573,309.0,0.04721458177712182
6383,49.12,-122.66,library or archives,Muriel Arnason Library (Willowbrook),langley,BABF017,V2Y 2X3,0.03993399144627886,0.09056000265254326,0.038132553391093206,3029,345.0,0.056208849163305104
6388,49.09,-122.61,library or archives,Murrayville Library,langley,BABF018,V3A 3N1,0.0019740006780079415,0.0015360919437805891,0.0009381380718503394,816,205.0,0.00148274356454629
6886,49.21,-122.92,library or archives,New Westminster Public Library,new-westminster,BNW001,V3M 2B3,0.018240273502654968,0.005651678588432529,0.007367143093648254,1300,298.0,0.010419698394911915
7046,49.26,-123.14,library or archives,Oblates of Mary Immaculate St. Paul's Province -Oblate Archives,vancouver,BVA007,V6H 1J8,1.0,1.0,1.0,3369,355.0,1.0
7212,49.28,-123.12,library or archives,Outreach Services,vancouver,BVA017,V6B 6B3,0.005879732212224939,0.00663032198870286,0.002234975994702279,1030,206.0,0.004915010065210026
7212,49.28,-123.12,library or archives,Outreach Services,vancouver,BVA003,V6B 6B1,0.0005951590909283044,0.002675338548965586,0.0008277688869267701,1030,206.0,0.0013660888422735535
7420,49.22,-122.69,library or archives,Pitt Meadows Public Library,langley,BABF019,V3Y 1Z2,0.024668668001829437,0.047554090900377835,0.01429280944760223,3061,345.0,0.028838522783269833
7514,49.28,-122.83,library or archives,Port Moody Public Library,new-westminster,BPMP001,V3H 3E1,0.0029605783187939237,0.0,0.002055626069201479,459,102.0,0.001672068129331801
8202,49.04,-122.8,library or archives,Semiahmoo Library,vancouver,BSUR008,V4A 9Y9,0.008757461680293049,0.0032068833497476716,0.002731637326858341,1284,257.0,0.0048986607856330204
8405,49.23,-123.09,library or archives,South Hill,vancouver,BVA019,V5W 2Z7,0.047754753875508614,0.20466339899586733,0.02789581148943215,3931,354.0,0.09343798812026936
