"DBUID","score","norm_score"
"59150965004",1.81830472200828,0.76348809538594
"59150556005",1.81674202738139,0.762831679516378
"59153146083",1.81625715061363,0.762628005171014
"59153810003",1.81619425370881,0.762601585084992
"59150732004",1.81548558121676,0.762303904487582
"59150296004",1.81532471493686,0.762236331989932
"59150349001",1.81531678660278,0.762233001662801
"59150959002",1.81443019720364,0.761860586386418
"59153258001",1.81385831090295,0.761620363353142
"59150618003",1.81232152413825,0.760974830180429
"59150680001",1.81166897386974,0.760700723938196
"59150661002",1.81136727205433,0.760573992933877
"59150727003",1.81120251704294,0.760504786959653
"59150383004",1.81111558605056,0.760468271263001
"59150906005",1.81059274246029,0.76024864880827
"59150636001",1.80939912023206,0.759747263214829
"59153166005",1.80890659590468,0.759540376482727
"59153223004",1.8074179912616,0.758915082394935
"59153371001",1.8067091470902,0.758617329682954
"59150379002",1.80528374897407,0.75801858573915
"59153400002",1.80467196578328,0.757761603864218
"59150327023",1.80426668946839,0.757591365994278
"59150864001",1.80320251389489,0.757144354964469
"59153146004",1.80296120038923,0.757042990301193
"59150904004",1.80288050303378,0.757009093067635
"59153956002",1.80213452327667,0.756695741410499
"59150384003",1.80123368875746,0.756317342416808
"59153834011",1.80070633709276,0.756095826328133
"59153253001",1.80067604562147,0.756083102279475
"59150973004",1.80040656068224,0.755969904097519
"59150976003",1.80029939747979,0.755924889783453
"59153216005",1.79982831881204,0.755727011382899
"59150569004",1.79980387731554,0.755716744638583
"59150902003",1.79948550325494,0.755583010393752
"59153196001",1.79941741195768,0.755554408383267
"59150699006",1.79917482225125,0.755452507646965
"59150914006",1.79905889400573,0.755403811542954
"59150311004",1.79809369152498,0.754998374540231
"59153199001",1.79808523425127,0.754994822029982
"59150645003",1.79775187012554,0.754854791150816
"59153200003",1.79764962290362,0.754811841813222
"59153155005",1.79758279933493,0.754783772316984
"59150657003",1.79688698000997,0.754491490741694
"59150686003",1.7966980978114,0.754412150049988
"59153205003",1.79630495854358,0.754247010393205
"59150631002",1.79544194721931,0.75388449917757
"59150565005",1.79500247511708,0.753699897236046
"59153578001",1.79499045952833,0.753694850041923
"59153687001",1.7949574234083,0.753680973093038
"59150691001",1.79453522425311,0.753503626719146
"59150738001",1.79445922873237,0.753471704509284
"59150632013",1.79431739746819,0.753412127742968
"59150917007",1.79383029549015,0.753207518689492
"59150906003",1.79370291577413,0.753154012351394
"59150699002",1.79344530345501,0.753045801309034
"59153989002",1.79297737454125,0.752849245974722
"59153312001",1.79232433506058,0.752574934237044
"59153215008",1.7921828533531,0.752515504303363
"59150071034",1.7914292420973,0.752198947005937
"59153140004",1.7898576227447,0.751538782271127
"59150373006",1.78973830726885,0.751488663348028
"59150038002",1.78949797069556,0.751387709048943
"59153219002",1.78761508661473,0.750596796371614
"59150925004",1.78753322244997,0.75056240901533
