DAUID,DBPOP,lat,lon
59150078,0,49.3201,-123.0897
59150079,187,49.3227,-123.0832
59150079,111,49.3217,-123.0832
59150079,150,49.3227,-123.0801
59150079,127,49.3237,-123.0801
59150080,37,49.3185,-123.0821
59150080,149,49.3194,-123.0833
59150080,138,49.3205,-123.0833
59150081,130,49.3216,-123.0801
59150081,150,49.3185,-123.0786
59150081,0,49.318000000000005,-123.0791
59150081,157,49.3193,-123.0778
59150081,0,49.3198,-123.0762
59150081,53,49.3194,-123.0809
59150081,0,49.3198,-123.0802
59150081,144,49.3205,-123.0802
59150082,362,49.3216,-123.07700000000001
59150082,393,49.3206,-123.0771
59150083,264,49.3237,-123.07700000000001
59150083,269,49.3226,-123.07700000000001
59150084,432,49.3226,-123.0739
59150084,512,49.3216,-123.0739
59150085,397,49.3236,-123.0739
59150085,486,49.3231,-123.0715
59150086,382,49.3246,-123.0707
59150086,89,49.3245,-123.075
59150086,252,49.3247,-123.0735
59150087,521,49.3231,-123.07
59150088,508,49.3225,-123.0676
59150089,328,49.3236,-123.0676
59150089,142,49.3235,-123.0645
59150089,130,49.3225,-123.0646
59150090,170,49.3257,-123.0676
59150090,213,49.3246,-123.0676
59150090,93,49.3246,-123.0645
59150090,103,49.3256,-123.0645
59150091,314,49.3267,-123.0706
59150091,353,49.3257,-123.0707
59150092,289,49.3278,-123.0738
59150092,184,49.3277,-123.0706
59150093,289,49.3278,-123.0769
59150093,343,49.3268,-123.0738
59150094,163,49.3258,-123.0769
59150094,369,49.3257,-123.0738
59150094,161,49.3247,-123.07700000000001
59150095,131,49.3289,-123.08
59150095,111,49.3279,-123.08
59150095,88,49.3268,-123.08
59150095,63,49.3258,-123.08
59150095,83,49.3247,-123.08
59150096,95,49.3309,-123.083
59150096,40,49.33,-123.0837
59150096,0,49.3292,-123.0829
59150096,135,49.3298,-123.0799
59150096,116,49.3308,-123.0799
59150096,98,49.3308,-123.0768
59150096,108,49.3298,-123.0769
59150097,32,49.3354,-123.083
59150097,81,49.3347,-123.083
59150097,65,49.3338,-123.083
59150097,105,49.3328,-123.083
59150097,87,49.3328,-123.0799
59150097,149,49.3337,-123.0799
59150097,124,49.3347,-123.0799
59150097,65,49.3354,-123.0798
59150098,19,49.3318,-123.0863
59150098,438,49.3337,-123.0863
59150099,81,49.3354,-123.0863
59150099,502,49.3339,-123.0898
59150100,31,49.3377,-123.0895
59150100,218,49.3361,-123.0895
59150100,128,49.3361,-123.0863
59150100,40,49.3375,-123.0867
