id,lat,lon,type,name,city,city_id
7239,49.2913154,-123.1295134,theatre/performance and concert hall,Pal Studio Theatre,Vancouver,5915022
7270,49.318722,-122.969798,library or archives,Parkgate,North Vancouver,5915046
7334,49.283709,-123.119963,gallery,Pendulum Gallery,Vancouver,5915022
7345,49.269212,-123.132002,theatre/performance and concert hall,Performance Works,Vancouver,5915022
7346,49.22380465,-122.9040122,artist,Peri-Laine Nilan,New Westminster,5915029
7360,49.2701374,-123.1337947,gallery,Peter Kiss Gallery,Vancouver,5915022
7361,49.19162099,-122.939402,artist,Peter Lojewski,New Westminster,5915029
7376,49.2652275,-123.0917358,gallery,Petley Jones Gallery,Vancouver,5915022
7419,49.2649397,-122.6892698,museum,Pitt Meadows Museum,Pitt Meadows,5915070
7420,49.221363,-122.68959,library or archives,Pitt Meadows Public Library,Pitt Meadows,5915070
7433,49.21561134,-122.927494,gallery,Plaskett Gallery,New Westminster,5915029
7471,49.01690996,-122.5728804,heritage or historic site,Points West Heritage Consulting Ltd,Langley,5915001
7472,49.253185,-122.846541,library or archives,Poirier Branch,Coquitlam,5915034
7497,..,..,museum,Port Coquitlam Heritage & Cultural Society,Coquitlam,5915034
7511,49.16281,-122.790169,library or archives,Port Kells,Surrey,5915004
7514,49.282312,-122.829572,library or archives,Port Moody Public Library,Port Moody,5915043
7517,49.27919001,-122.8507565,museum,Port Moody Station Museum,Port Moody,5915043
7564,49.31545021,-123.080156,gallery,Presentation House Gallery,North Vancouver,5915051
7640,49.2420698,-123.1137689,heritage or historic site,Queen Elizabeth Park,Vancouver,5915022
7641,49.28046,-123.113401,theatre/performance and concert hall,Queen Elizabeth Theatre,Vancouver,5915022
7656,49.186458,-122.945466,library or archives,Queensborough,New Westminster,5915029
7702,49.21777301,-122.9151126,artist,Razzberry Art And Design,New Westminster,5915029
7751,49.281336,-123.1019396,gallery,Remington Gallery And Studio,Vancouver,5915022
7755,49.250885,-123.04287,library or archives,Renfrew Branch,Vancouver,5915022
7756,49.2806995,-123.1031317,museum,Rennie Collection At Wing Sang,Vancouver,5915022
7792,49.2071339,-122.9183114,artist,Richard R. Carswell,New Westminster,5915029
7797,49.1641205,-123.1411334,gallery,Richmond Art Gallery,Richmond,5915015
7801,49.1641205,-123.1411334,museum,Richmond Museum,Richmond,5915015
7802,49.1699053,-123.0465846,miscellaneous,Richmond Nature Park,Richmond,5915015
7803,49.1641205,-123.1411334,library or archives,Richmond Public Library,Richmond,5915015
7806,49.281272,-123.0983094,theatre/performance and concert hall,Rickshaw Theatre,Vancouver,5915022
7821,49.2620042,-123.0704852,theatre/performance and concert hall,Rio Theatre,Vancouver,5915022
7850,49.20885978,-122.9424084,artist,Rob Fee,New Westminster,5915029
7879,49.286863,-123.132187,museum,Roedde House,Vancouver,5915022
7933,49.267411,-123.256613,theatre/performance and concert hall,Roy Barnett Recital Hall,Greater Vancouver A,5915020
7954,49.21480078,-122.9272501,theatre/performance and concert hall,Royal City Musical Theatre Company,New Westminster,5915029
7955,49.20406694,-122.9069895,theatre/performance and concert hall,Royal City Youth Ballet,New Westminster,5915029
