"fromId","avg_time_to_allpoi","sd_time_to_allpoi","avg_sd_time_to_uniquepoi","n_accessible_poi"
"59150956006",59.4749392359422,22.4822366351405,2.38761630752532,392
"59150957001",62.2517516755484,20.4790232319069,2.44466768544282,380
"59150957002",61.2853060370084,20.8530463009308,2.41638640252195,383
"59150957003",62.5187757903517,20.4406676378636,2.44304974343106,380
"59150957004",60.0764138880574,22.2450415121744,2.3045957289771,391
"59150957005",60.8271876629529,21.0195441502293,2.45205062293433,383
"59150958001",66.0712215280675,20.1950864823256,2.4433897343921,377
"59150958002",64.6400145311799,20.2920132326453,2.39044699191627,378
"59150958003",63.360600833978,20.2144664664898,2.43175761630441,378
"59150958004",61.22724763266,20.7416556646718,2.44518370541484,380
"59150959001",64.0668440053402,21.5791610263637,2.71218507581079,377
"59150959002",64.3320868484208,20.9291958038763,2.80794071082248,377
"59150959003",64.0614231775656,20.5862006245892,2.55813411187263,378
"59150959004",62.951006939011,20.4420078388447,2.59092504405383,378
"59150959005",63.7427604800335,20.1279369534445,2.46430684908948,378
"59150959006",61.5123404497082,20.7716768799335,2.58000330973564,380
"59150960001",68.4966304981005,22.1194578230844,2.80152715515837,372
"59150960002",69.6879734451931,22.0343224094893,3.02973428538269,371
"59150960003",67.2428527061545,20.2503060338969,2.49358530921578,376
"59150960004",64.8674065246747,20.2500459628037,2.40888088007795,378
"59150960005",65.6163607345235,20.4565551624467,2.5177580294695,377
"59150960006",66.132777118345,20.7100646746939,2.65402653250124,376
"59150961001",65.7888032609211,22.7181918567567,2.95040197419876,378
"59150961002",67.6182434312408,22.7900950572849,2.79469705996853,377
"59150961003",68.0068019974012,22.6849015810339,2.80243284879275,377
"59150961004",67.2999163303575,22.4007130963995,2.74273479833466,375
"59150961005",67.9790310821948,22.2543185451034,2.77115891503132,373
"59150961006",68.6357593750355,22.2681346307795,2.79052583573328,373
"59150962001",62.2543838948601,22.8399197533262,2.88253797733135,378
"59150962002",63.9117402601112,22.7359924223069,2.89136720128724,378
"59150962003",65.47732354915,22.6046371272321,2.84659855101351,377
"59150962004",65.9608151314945,22.6227588422271,2.90106595266577,376
"59150962005",62.8171909149979,22.7526866591893,2.88204949019476,378
"59150962006",61.2117652235928,22.8608276607983,2.97627094161718,378
"59150963001",62.3517364167531,22.7512204773146,2.91062066660526,378
"59150963002",63.7656092371005,22.6784223546117,2.99775831277966,378
"59150963003",61.90378872201,22.7053375475432,2.94313275484232,378
"59150963004",61.0183727329503,23.0510170180429,2.91239152641631,380
"59150963005",60.12792309797,23.6601621596989,2.86626180763345,383
"59150963006",60.2466731917,23.12412829498,2.7870117958423,380
