"poi_name","open_days","Total_hours","Rating","Total_Review","Index","id","lat","lon","type","city","city_id"
"Firehall Arts Centre",0.5,0.173684210526316,0.588235294117647,0.041036717062635,0.325739055426649,3774,"49.282083","-123.097921","theatre/performance and concert hall","Vancouver",5915022
"Roy Barnett Recital Hall",0.5,0.252631578947368,0.764705882352941,0.00359971202303816,0.380234293330837,7933,"49.267411","-123.256613","theatre/performance and concert hall","Greater Vancouver A",5915020
"Royal City Musical Theatre Company",0.5,0.147368421052632,0.235294117647059,0.00119990400767939,0.220965610676842,7954,"49.21480078","-122.9272501","theatre/performance and concert hall","New Westminster",5915029
"Pacific Theatre",0.25,0,0.764705882352941,0.0280777537796976,0.26069590903316,7236,"49.2607195","-123.1372216","theatre/performance and concert hall","Vancouver",5915022
"Studio Theatre At Surrey Arts Centre",0.25,0.447368421052632,0.647058823529412,0.108951283897288,0.363344632119833,8676,"49.16239448","-122.8420413","theatre/performance and concert hall","Surrey",5915004
"Western Front - Luxe Hall",0.25,0.505263157894737,0.764705882352941,0.00671946244300456,0.381672125672671,9581,"49.263894","-123.098716","theatre/performance and concert hall","Vancouver",5915022
"Vogue Theatre",0,0.0421052631578947,0.588235294117647,0.387329013678906,0.254417392738612,9442,"49.2799671","-123.1218259","theatre/performance and concert hall","Vancouver",5915022
"Anza Club (Australia-New Zealand Association)",0.732758620689655,0.442857142857143,0.658994032395567,0.1150760113104,0.487421451813191,318,"49.263974","-123.105108","theatre/performance and concert hall","Vancouver",5915022
"Astorino's Hall",0.732758620689655,0.442857142857143,0,0.00167986561075114,0.294323907289387,532,"49.2769146","-123.0698555","theatre/performance and concert hall","Vancouver",5915022
"Capilano College Performing Arts Theatre",0.732758620689655,0.442857142857143,0.705882352941177,0.0163186945044396,0.474454202748104,2243,"49.31615035","-123.0202274","theatre/performance and concert hall","North Vancouver",5915046
"Centennial Theatre",0.732758620689655,0.442857142857143,0.529411764705882,0.089752819774418,0.448695087006775,2355,"49.33075439","-123.0715514","theatre/performance and concert hall","North Vancouver",5915051
"Chan Centre For the Performing Art - Concert Hall",0.732758620689655,0.442857142857143,0.823529411764706,0.230861531077514,0.557501676597254,2586,"49.269523","-123.255108","theatre/performance and concert hall","Greater Vancouver A",5915020
"Deep Cove Shaw Theatre",0.732758620689655,0.442857142857143,0.823529411764706,0.00575953923686105,0.501226178637091,3080,"49.32698715","-122.9500893","theatre/performance and concert hall","North Vancouver",5915046
"Delphi Custom Theatres Inc",0.732758620689655,0.442857142857143,0.658994032395567,0.1150760113104,0.487421451813191,3094,"49.06830874","-122.6597014","theatre/performance and concert hall","Langley",5915001
"Djavad Mowafaghian Cinema",0.732758620689655,0.442857142857143,0.588235294117647,0.00791936645068395,0.442942606028782,3135,"49.282364","-123.108528","theatre/performance and concert hall","Vancouver",5915022
"Dorothy Somerset Studio Theatre",0.732758620689655,0.442857142857143,0.411764705882353,0.00287976961843053,0.397565059761895,3171,"49.2643788","-123.2543722","theatre/performance and concert hall","Greater Vancouver A",5915020
"Famous Players Limited Partnership (Theatre)",0.732758620689655,0.442857142857143,0.470588235294117,0.988720902327814,0.658731225292182,3541,"49.16790012","-122.6652397","theatre/performance and concert hall","Langley",5915001
"Fanclub",0.732758620689655,0.442857142857143,0.658994032395567,0.1150760113104,0.487421451813191,3542,"49.2784977","-123.1235587","theatre/performance and concert hall","Vancouver",5915022
"Fei & Milton Wong Experimental Theatre",0.732758620689655,0.442857142857143,0.588235294117647,0.00791936645068395,0.442942606028782,3561,"49.282402","-123.10859","theatre/performance and concert hall","Vancouver",5915022
"Fortune Sound Club",0.732758620689655,0.442857142857143,0.294117647058823,0.0599952003839693,0.382432152747398,3920,"49.2806621","-123.1008605","theatre/performance and concert hall","Vancouver",5915022
"Frederic Wood Theatre",0.732758620689655,0.442857142857143,0.764705882352941,0.017518598512119,0.489460061102965,3979,"49.268215","-123.2572691","theatre/performance and concert hall","Greater Vancouver A",5915020
"Heidi Zolty",0.732758620689655,0.442857142857143,1,0.000479961603071754,0.544023931287467,4584,"49.28073617","-123.0019167","theatre/performance and concert hall","Burnaby",5915025
"Hendry Hall Theatre",0.732758620689655,0.442857142857143,0.658994032395567,0.1150760113104,0.487421451813191,4592,"49.31728509","-123.0514318","theatre/performance and concert hall","North Vancouver",5915046
