id,prox_emp,prox_pharma,prox_childcare,prox_health,prox_grocery,prox_educpri,prox_educsec,prox_lib,prox_parks,prox_transit
59152046002,0.0693,0.0093,0.1475,0.0078,0.011,0.1109,0.1429,0.0582,0.05,0.0156
59152046003,0.0695,0.0064,0.1084,0.0073,0.011,0.1002,0.1292,0.0545,0.0231,0.0111
59152047001,0.0674,0.0221,0.0727,0.0088,0.0575,0.137,0.1765,0.0854,0.0486,0.027
59152047002,0.0647,0.0138,0.08,0.0065,0.0286,0.1908,0.2459,0.0714,0.1012,0.0075
59152047003,0.0631,0.015,0.0991,0.0067,0.0075,0.1044,0.1346,0.0577,0.0474,0.0082
59152047004,0.0627,0.0269,0.1016,0.0058,..,0.117,0.1508,0.0512,0.0731,0.0071
59152048001,0.0678,..,0.1011,0.0069,0.0099,0.0946,0.1219,0.0516,0.0119,0.0094
59152049001,0.0601,0.0367,0.1013,0.0057,..,0.1003,0.1293,..,0.0785,0.0069
59152050001,0.0583,..,0.1257,0.0046,..,0.1763,0.2273,0.0493,0.2106,0.0029
59152050002,0.0583,..,0.0482,0.0046,..,0.1277,0.1645,..,0.1412,0.0009
59152050003,0.0626,..,0.0648,0.0053,..,0.1627,0.2097,..,0.1685,0.0033
59152051001,0.0556,..,0.041,0.0038,..,0.0622,0.0802,..,0.1184,0.0011
59152052004,0.0584,0.0183,0.0721,0.0042,..,0.1745,0.225,..,0.1798,0.0033
59152052005,0.0552,0.0083,0.0678,0.0038,..,0.1529,0.1971,..,0.1181,0.0029
59152052006,0.0566,0.0066,0.0395,0.0036,..,0.1515,0.1952,..,0.1384,0.0056
59152052007,0.0572,0.016,0.0666,0.0041,..,0.1652,0.213,..,0.183,0.0033
59152053001,0.0667,0.0084,0.0274,0.0067,..,0.1328,0.1712,0.0624,0.1729,0.011
59152053002,0.055,..,0.0412,0.0041,..,0.163,0.2101,..,0.1196,0.004
59152053003,0.0596,0.0097,0.0651,0.0055,..,0.1134,0.1462,0.0693,0.1158,0.0086
59152054001,0.0649,0.0078,0.0272,0.0057,..,0.1383,0.1783,0.0592,0.1855,0.0124
59152054002,0.0596,..,0.0139,0.005,..,0.0973,0.1254,0.0501,0.0844,0.0044
59152055003,0.0623,..,0.0211,0.0055,..,0.0943,0.1215,..,0.1027,0.0072
59152055004,0.0635,0.0068,0.0305,0.0057,0.0152,0.1468,0.1892,0.0508,0.1591,0.0138
59152056001,0.0667,0.0073,0.032,0.0064,0.0162,0.1681,0.2167,..,0.0978,0.0105
