"fromId","all_destination_scores","nearest1_gallery_scores","nearest1_library_or_archives_scores","nearest1_museum_scores","nearest1_theatre_performance_and_concert_hall_scores","nearest3_gallery_scores","nearest3_library_or_archives_scores","nearest3_museum_scores","nearest3_theatre_performance_and_concert_hall_scores","gallery_scores","library_archives_scores","museum_score","theatre_concert_hall_scores","pop","lat","lon"
"59150701002",0.6935831662102,0.799296617462412,0.499881865682971,0.390401493464502,0.35305137799131,0.423307380426637,0.619034989186138,0.300068541848865,0.323663634666625,0.5944861,0.3080871,0.4166351,0.385764,"112",49.2525,-123.0998
"59150701003",0.687286080824048,0.799296617462412,0.460032743269445,0.367327984848492,0.361505361460255,0.41057235412982,0.579503953042437,0.281063953080328,0.318367483728311,0.5866565,0.3040512,0.4124765,0.3810042,"77",49.2525,-123.0976
"59150701004",0.692603087240282,0.799296617462412,0.485168989927546,0.392076982723176,0.397487973014791,0.439650562149165,0.604140545372337,0.298948906291135,0.335413342583213,0.5949104,0.3054081,0.4170403,0.3840992,"112",49.2534,-123.0976
"59150701005",0.691177168003389,0.664188353057637,0.351320130024104,0.385088351151467,0.369082755384524,0.408642884229398,0.461370071416412,0.294017558860163,0.328110987339445,0.5959777,0.3014891,0.4145313,0.3837345,"125",49.2524,-123.0953
"59150702001",0.685538019301266,0.715508419137458,0.516519816082056,0.393665897634781,0.360402181355376,0.401410223182083,0.630627538916378,0.303565721378864,0.326592102177998,0.5854714,0.3045477,0.4107557,0.3805583,"371",49.2543,-123.0997
"59150702002",0.705135756791074,0.664188353057637,0.485168989927546,0.42060557552003,0.412259537493172,0.40645506733435,0.6081724920325,0.324131820931766,0.351345266226998,0.6108805,0.3066769,0.4232161,0.3937664,"112",49.2543,-123.0975
"59150703001",0.710050921157784,0.5537973821236,0.460032743269445,0.409608532703151,0.432489132489389,0.382510377202473,0.590668016317382,0.3139721647648,0.358741415543344,0.6142598,0.3052021,0.4294456,0.4011031,"153",49.2552,-123.0952
"59150703002",0.708671434881653,0.598014856063728,0.460032743269445,0.409059429133248,0.412656279695071,0.382903646969327,0.581296428448476,0.312908376795934,0.354860671234666,0.6140823,0.3046702,0.4255227,0.3995421,"159",49.2543,-123.0952
"59150703003",0.699411387191472,0.627088674676227,0.449109732101269,0.410880920695137,0.397487973014791,0.387329451785252,0.575211296096574,0.314536061754282,0.349940097172272,0.6018666,0.3051677,0.4196875,0.3910242,"161",49.2533,-123.0952
"59150704001",0.739750703533815,0.715508419137458,0.535663534361142,0.483928911197364,0.394847483946283,0.400120436999913,0.639898391111526,0.347903943211142,0.358339905074501,0.6492355,0.3191072,0.4489155,0.4170891,"16",49.2561,-123.101
"59150704002",0.715416657925928,0.799296617462412,0.558203933857527,0.415476057229128,0.372145360668398,0.396352368606318,0.649542810282652,0.332643053420628,0.345412432650316,0.6223813,0.3137963,0.4303621,0.3999671,"33",49.2553,-123.101
"59150704003",0.705164861892519,0.715508419137458,0.535663534361142,0.394543887247305,0.384231975116732,0.390360038171696,0.621427951221698,0.312665713134719,0.33456330098717,0.5964382,0.3146489,0.4213998,0.3899397,"115",49.2552,-123.0996
"59150704004",0.744600922856771,0.664188353057637,0.499881865682971,0.504340988898734,0.417745375741023,0.406262823069337,0.60250929953417,0.356491166978874,0.375284221325627,0.6519435,0.32081,0.4531062,0.4182008,"104",49.2561,-123.0996
"59150704005",0.742207783732182,0.574104561675346,0.471981553100021,0.419495683260543,0.467599066353456,0.397298999078417,0.605172072925754,0.340223647416471,0.384940375734885,0.6373132,0.3218401,0.4480265,0.4166299,"105",49.2561,-123.0975
"59150704006",0.736811193401645,0.520541206571186,0.396017440768796,0.418220827572526,0.436199962339534,0.377282300638943,0.499136760549739,0.321266020608988,0.380152323520642,0.6328554,0.3178222,0.4425643,0.4139526,"175",49.256,-123.0952
"59150704007",0.717128366649478,0.627088674676227,0.485168989927546,0.419848165018085,0.409283452109458,0.388184037854833,0.610958395915105,0.316824863228855,0.357062977619671,0.6149493,0.3123679,0.4309211,0.4014176,"81",49.2552,-123.0975
"59150705001",0.78458121064012,0.574104561675346,0.499881865682971,0.586828793156899,0.637341369692185,0.44331285596471,0.649287756823027,0.442108873253317,0.477800033519911,0.705384,0.3287035,0.483938,0.4526323,"0",49.2579,-123.1009
"59150705002",0.791690809626812,0.5537973821236,0.471981553100021,0.547803004330005,0.502798103097787,0.424282274287389,0.614062073123741,0.408745811428061,0.402675626844299,0.7144562,0.3321217,0.4879631,0.4512347,"277",49.2579,-123.0995
