poi_name,Name,pid,Rating,Total_Review,opening_hours,open_days,Total_hours
Cameron,Cameron Recreation Complex,ChIJN8QuuTB4hlQRYn9k8AjxsQY,4.3,51,"['Monday: 8:00 AM – 9:00 PM', 'Tuesday: 8:00 AM – 9:00 PM', 'Wednesday: 8:00 AM – 9:00 PM', 'Thursday: 8:00 AM – 9:00 PM', 'Friday: 8:00 AM – 9:00 PM', 'Saturday: 8:00 AM – 6:00 PM', 'Sunday: 8:00 AM – 9:00 PM']",7,88
Cameron Library,"Burnaby Public Library, Cameron Branch",ChIJN8QuuTB4hlQRi0lE87tukG4,3.9,68,"['Monday: 10:00 AM – 5:00 PM', 'Tuesday: 10:00 AM – 7:00 PM', 'Wednesday: 10:00 AM – 7:00 PM', 'Thursday: 10:00 AM – 7:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 4:00 PM', 'Sunday: 12:00 – 4:00 PM']",7,51
Canadian Lacrosse Hall of Fame & Museum,Canadian Lacrosse Hall of Fame,ChIJXVkBWfyBC0EREYC1W74KCko,4.6,5,"['Monday: 10:00 AM – 5:00 PM', 'Tuesday: 10:00 AM – 5:00 PM', 'Wednesday: 10:00 AM – 5:00 PM', 'Thursday: 10:00 AM – 8:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: 10:00 AM – 5:00 PM']",7,52
Capilano,Capilano Suspension Bridge Park,ChIJSd7cANJvhlQRXg8TheyzUPM,4.5,19610,"['Monday: 11:00 AM – 6:00 PM', 'Tuesday: 11:00 AM – 6:00 PM', 'Wednesday: 11:00 AM – 6:00 PM', 'Thursday: 11:00 AM – 6:00 PM', 'Friday: 11:00 AM – 6:00 PM', 'Saturday: 11:00 AM – 6:00 PM', 'Sunday: 11:00 AM – 6:00 PM']",7,49
Carnegie Centre Theatre,Carnegie Community Centre,ChIJefCGwHBxhlQRGkC-RJTPtUo,4.1,592,"['Monday: 9:00 – 11:00 AM, 12:00 – 4:00 PM, 5:00 – 11:00 PM', 'Tuesday: 9:00 – 11:00 AM, 12:00 – 4:00 PM, 5:00 – 11:00 PM', 'Wednesday: 9:00 – 11:00 AM, 12:00 – 4:00 PM, 5:00 – 11:00 PM', 'Thursday: 9:00 – 11:00 AM, 12:00 – 4:00 PM, 5:00 – 11:00 PM', 'Friday: 9:00 – 11:00 AM, 12:00 – 4:00 PM, 5:00 – 11:00 PM', 'Saturday: 9:00 – 11:00 AM, 12:00 – 4:00 PM, 5:00 – 11:00 PM', 'Sunday: 9:00 – 11:00 AM, 12:00 – 4:00 PM, 5:00 – 11:00 PM']",7,42
Central Branch,"Vancouver Public Library, Central Library",ChIJQ9pJmH5xhlQRe_nvreYL37k,4.6,1072,"['Monday: 9:30 AM – 8:30 PM', 'Tuesday: 9:30 AM – 8:30 PM', 'Wednesday: 9:30 AM – 8:30 PM', 'Thursday: 9:30 AM – 8:30 PM', 'Friday: 9:30 AM – 6:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: 11:00 AM – 6:00 PM']",7,67.5
Charles H. Scott Gallery,Libby Leshgold Gallery,ChIJaUgDss9zhlQRfgG43UIlj74,4.6,5,"['Monday: 12:00 – 5:00 PM', 'Tuesday: 12:00 – 5:00 PM', 'Wednesday: 12:00 – 5:00 PM', 'Thursday: 12:00 – 5:00 PM', 'Friday: 12:00 – 5:00 PM', 'Saturday: 12:00 – 5:00 PM', 'Sunday: 12:00 – 5:00 PM']",7,35
Cineplex Odeon International Village Cinemas,International Village Mall,ChIJ36zlvedzhlQRtVdcjZQtC6E,3.6,4168,"['Monday: 10:00 AM – 8:00 PM', 'Tuesday: 10:00 AM – 8:00 PM', 'Wednesday: 10:00 AM – 8:00 PM', 'Thursday: 10:00 AM – 8:00 PM', 'Friday: 10:00 AM – 8:00 PM', 'Saturday: 10:00 AM – 8:00 PM', 'Sunday: 10:00 AM – 8:00 PM']",7,70
Circle Craft Co-Operative Shop & Gallery,Circle Craft Store,ChIJ_zVCDYNxhlQR4cvQdGTfcG0,4.2,14,"['Monday: 10:00 AM – 5:15 PM', 'Tuesday: 10:00 AM – 5:15 PM', 'Wednesday: 10:00 AM – 5:15 PM', 'Thursday: 10:00 AM – 5:15 PM', 'Friday: 10:00 AM – 5:15 PM', 'Saturday: 10:00 AM – 5:15 PM', 'Sunday: 10:00 AM – 5:15 PM']",7,50.75
City Centre,Central City,ChIJe7OcgdTZhVQRxVnKiazlQBI,4,7849,"['Monday: 10:00 AM – 7:00 PM', 'Tuesday: 10:00 AM – 7:00 PM', 'Wednesday: 10:00 AM – 9:00 PM', 'Thursday: 10:00 AM – 9:00 PM', 'Friday: 10:00 AM – 9:00 PM', 'Saturday: 10:00 AM – 7:00 PM', 'Sunday: 11:00 AM – 6:00 PM']",7,67
City Centre Branch,"City Centre Branch, Coquitlam Public Library",ChIJb67OVzF_hlQRevOE3xOqGlI,4,170,"['Monday: 9:00 AM – 9:00 PM', 'Tuesday: 9:00 AM – 9:00 PM', 'Wednesday: 9:00 AM – 9:00 PM', 'Thursday: 9:00 AM – 9:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: 10:00 AM – 5:00 PM']",7,70
Coastal Peoples Fine Arts Gallery Gastown,Coastal Peoples Fine Arts Gallery,ChIJB33QRtZzhlQRraPO8GCrqWw,4.4,33,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: 10:00 AM – 6:00 PM']",7,56
Coastal Peoples Fine Arts Gallery Yaletown,Coastal Peoples Fine Arts Gallery,ChIJB33QRtZzhlQRraPO8GCrqWw,4.4,33,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: 10:00 AM – 6:00 PM']",7,56
Coquitlam Public Library,"Poirier Branch, Coquitlam Public Library",ChIJGcziDIp4hlQRaNwWl3wP8-s,4.5,87,"['Monday: 9:00 AM – 9:00 PM', 'Tuesday: 9:00 AM – 9:00 PM', 'Wednesday: 9:00 AM – 9:00 PM', 'Thursday: 9:00 AM – 9:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: 12:00 – 5:00 PM']",7,68
Dee Spencer Native Art,Douglas Reynolds Gallery,ChIJtwIUx8dzhlQRmN-hjQzn3Xg,5,28,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: 12:00 – 5:00 PM']",7,53
Douglas Reynolds Gallery,Douglas Reynolds Gallery,ChIJtwIUx8dzhlQRmN-hjQzn3Xg,5,28,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: 12:00 – 5:00 PM']",7,53
Dunbar,Dunbar Theatre,ChIJ_7RfWRFzhlQRQw1td20k8M4,4.5,430,"['Monday: 12:00 AM – 12:00 PM, 1:00 PM – 12:00 AM', 'Tuesday: 12:00 AM – 12:00 PM, 1:00 PM – 12:00 AM', 'Wednesday: 12:00 AM – 12:00 PM, 1:00 PM – 12:00 AM', 'Thursday: 12:00 AM – 12:00 PM, 1:00 PM – 12:00 AM', 'Friday: 12:00 AM – 12:00 PM, 1:00 PM – 12:00 AM', 'Saturday: 12:00 AM – 12:00 PM, 1:00 PM – 12:00 AM', 'Sunday: 12:00 AM – 12:00 PM, 1:00 PM – 12:00 AM']",7,91
Emily Carr Institute of Art + Design 1612 Gallery,Emily Carr University of Art + Design,ChIJH6WXuV1xhlQR0PSIpGhUQ0o,3.9,109,"['Monday: 7:30 AM – 1:00 AM', 'Tuesday: 7:30 AM – 1:00 AM', 'Wednesday: 7:30 AM – 1:00 AM', 'Thursday: 7:30 AM – 1:00 AM', 'Friday: 7:30 AM – 11:00 PM', 'Saturday: 8:30 AM – 11:00 PM', 'Sunday: 8:30 AM – 11:00 PM']",7,70.5
Fang-Chih Liao,Federation Gallery,ChIJN05VLndzhlQRFl5m84NzW0Y,5,32,"['Monday: 10:00 AM – 4:00 PM', 'Tuesday: 10:00 AM – 4:00 PM', 'Wednesday: 10:00 AM – 4:00 PM', 'Thursday: 10:00 AM – 4:00 PM', 'Friday: 10:00 AM – 4:00 PM', 'Saturday: 10:00 AM – 4:00 PM', 'Sunday: 10:00 AM – 4:00 PM']",7,42
Federation Gallery,Federation Gallery,ChIJN05VLndzhlQRFl5m84NzW0Y,5,32,"['Monday: 10:00 AM – 4:00 PM', 'Tuesday: 10:00 AM – 4:00 PM', 'Wednesday: 10:00 AM – 4:00 PM', 'Thursday: 10:00 AM – 4:00 PM', 'Friday: 10:00 AM – 4:00 PM', 'Saturday: 10:00 AM – 4:00 PM', 'Sunday: 10:00 AM – 4:00 PM']",7,42
Fort Langley National Historic Site of Canada,Fort Langley National Historic Site of Canada,ChIJTYG81vXShVQRD-82Ldaj7sE,4.5,1438,"['Monday: 10:00 AM – 5:00 PM', 'Tuesday: 10:00 AM – 5:00 PM', 'Wednesday: 10:00 AM – 5:00 PM', 'Thursday: 10:00 AM – 5:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: 10:00 AM – 5:00 PM']",7,49
Fraser River Discovery Centre,Fraser River Discovery Centre,ChIJDwDMWG7YhVQRDOdiVlW9kuk,4.3,138,"['Monday: 10:00 AM – 4:00 PM', 'Tuesday: 10:00 AM – 4:00 PM', 'Wednesday: 10:00 AM – 4:00 PM', 'Thursday: 10:00 AM – 4:00 PM', 'Friday: 10:00 AM – 4:00 PM', 'Saturday: 10:00 AM – 4:00 PM', 'Sunday: 10:00 AM – 4:00 PM']",7,42
Granville Fine Arts,Vancouver Fine Art Gallery,ChIJPYxOsoVzhlQRnkQ_J9VR3lM,5,11,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: 12:00 – 4:00 PM']",7,52
Gulf of Georgia Cannery National Historic Site,Gulf of Georgia Cannery National Historic Site,ChIJZTvdPXYKhlQRCqHE9q0UWUA,4.5,704,"['Monday: 10:00 AM – 5:00 PM', 'Tuesday: 10:00 AM – 5:00 PM', 'Wednesday: 10:00 AM – 5:00 PM', 'Thursday: 10:00 AM – 5:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: 10:00 AM – 5:00 PM']",7,49
Guy Allen,RONA B.H. Allen Building Centre Ltd,ChIJQcV3jctxhlQRTANmdfFKj3E,3.5,225,"['Monday: 7:00 AM – 8:00 PM', 'Tuesday: 7:00 AM – 8:00 PM', 'Wednesday: 7:00 AM – 8:00 PM', 'Thursday: 7:00 AM – 8:00 PM', 'Friday: 7:00 AM – 8:00 PM', 'Saturday: 7:00 AM – 6:00 PM', 'Sunday: 9:00 AM – 5:00 PM']",7,84
Havana Gallery,Havana Vancouver,ChIJz-KODz9xhlQRtVWCFPnJBpY,4.2,1747,"['Monday: 11:00 AM – 11:00 PM', 'Tuesday: 11:00 AM – 11:00 PM', 'Wednesday: 11:00 AM – 11:00 PM', 'Thursday: 11:00 AM – 11:00 PM', 'Friday: 11:00 AM – 11:00 PM', 'Saturday: 10:00 AM – 11:00 PM', 'Sunday: 10:00 AM – 11:00 PM']",7,86
Havana Theatre,Havana Vancouver,ChIJz-KODz9xhlQRtVWCFPnJBpY,4.2,1747,"['Monday: 11:00 AM – 11:00 PM', 'Tuesday: 11:00 AM – 11:00 PM', 'Wednesday: 11:00 AM – 11:00 PM', 'Thursday: 11:00 AM – 11:00 PM', 'Friday: 11:00 AM – 11:00 PM', 'Saturday: 10:00 AM – 11:00 PM', 'Sunday: 10:00 AM – 11:00 PM']",7,86
Heritage Circle Installations Ltd,Rogers' Chocolates,ChIJ10OphpB0j1QRo7e7Eitq9vg,4.5,362,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: 11:00 AM – 6:00 PM']",7,55
Heritage Meats Ltd,Heritage Meats Ltd,ChIJiTIe2S3QhVQRXLP-SkMz0Sk,4.5,216,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: 10:00 AM – 5:00 PM']",7,55
Ice Box Gallery,Ice Box Gallery,ChIJ08rDWXFxhlQRIjddEzSWw-o,5,1,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: 10:00 AM – 6:00 PM']",7,56
Joe Fortes,Joe Fortes Seafood & Chop House,ChIJiUwIWIBxhlQRzKG3k_9C-T8,4.5,4219,"['Monday: 11:00 AM – 10:00 PM', 'Tuesday: 11:00 AM – 10:00 PM', 'Wednesday: 11:00 AM – 10:00 PM', 'Thursday: 11:00 AM – 10:00 PM', 'Friday: 11:00 AM – 10:00 PM', 'Saturday: 11:00 AM – 10:00 PM', 'Sunday: 11:00 AM – 10:00 PM']",7,77
Kizmit Gift Gallery Inc,Kizmit Gift Gallery,ChIJfW6FLfbShVQRSra14rGz3jY,4.9,9,"['Monday: 12:00 – 5:00 PM', 'Tuesday: 12:00 – 5:00 PM', 'Wednesday: 12:00 – 5:00 PM', 'Thursday: 12:00 – 5:00 PM', 'Friday: 12:00 – 5:00 PM', 'Saturday: 1:00 – 5:00 PM', 'Sunday: 1:00 – 5:00 PM']",7,57
Lattimer Gallery,Lattimer Gallery,ChIJYX-6P8lzhlQRzOxgwTC5Eho,4.5,55,"['Monday: 10:00 AM – 5:30 PM', 'Tuesday: 10:00 AM – 5:30 PM', 'Wednesday: 10:00 AM – 5:30 PM', 'Thursday: 10:00 AM – 5:30 PM', 'Friday: 10:00 AM – 5:30 PM', 'Saturday: 10:00 AM – 5:30 PM', 'Sunday: 11:00 AM – 5:00 PM']",7,51
Make Gallery,Vancouver Art Gallery,ChIJwXz9f39xhlQRT3qxXAPDlbU,4.3,5828,"['Monday: 10:00 AM – 5:00 PM', 'Tuesday: 12:00 – 8:00 PM', 'Wednesday: 10:00 AM – 5:00 PM', 'Thursday: 10:00 AM – 5:00 PM', 'Friday: 12:00 – 8:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: 10:00 AM – 5:00 PM']",7,51
Malaspina Printmakers Gallery,Malaspina Printmakers Society,ChIJRxH4is5zhlQRo4VTD-Bg3CE,4.9,15,"['Monday: 12:00 – 5:00 PM', 'Tuesday: 12:00 – 5:00 PM', 'Wednesday: 12:00 – 5:00 PM', 'Thursday: 12:00 – 5:00 PM', 'Friday: 12:00 – 5:00 PM', 'Saturday: 12:00 – 5:00 PM', 'Sunday: 12:00 – 5:00 PM']",7,35
Mcgill,"Burnaby Public Library, McGill Branch",ChIJ9cKS2bVwhlQRpzLlFw7oL7A,4.7,114,"['Monday: 10:00 AM – 5:00 PM', 'Tuesday: 10:00 AM – 7:00 PM', 'Wednesday: 10:00 AM – 7:00 PM', 'Thursday: 10:00 AM – 7:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 4:00 PM', 'Sunday: 12:00 – 4:00 PM']",7,51
Mcgill Library,"Burnaby Public Library, McGill Branch",ChIJ9cKS2bVwhlQRpzLlFw7oL7A,4.7,114,"['Monday: 10:00 AM – 5:00 PM', 'Tuesday: 10:00 AM – 7:00 PM', 'Wednesday: 10:00 AM – 7:00 PM', 'Thursday: 10:00 AM – 7:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 4:00 PM', 'Sunday: 12:00 – 4:00 PM']",7,51
Music Box Music And Theatre Academy,Music Box New Westminster's Music Academy,ChIJo7E9C3LYhVQRxjNZ3FFDpy0,4.8,22,"['Monday: 12:30 – 8:30 PM', 'Tuesday: 12:30 – 8:30 PM', 'Wednesday: 12:30 – 8:30 PM', 'Thursday: 12:30 – 8:30 PM', 'Friday: 12:30 – 8:30 PM', 'Saturday: 9:00 AM – 5:00 PM', 'Sunday: 12:00 – 5:00 PM']",7,53
New Westminster Public Library,New Westminster Public Library,ChIJjUW1sNh3hlQRpPVardz4bQY,4.2,117,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: 12:00 – 5:00 PM']",7,51
New Westminster Public Library And Archives,New Westminster Public Library,ChIJjUW1sNh3hlQRpPVardz4bQY,4.2,117,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: 12:00 – 5:00 PM']",7,51
Newton,Surrey Libraries - Newton Branch,ChIJTc4CnTPahVQRITom3uj4SAI,4.4,105,"['Monday: 1:00 – 5:00 PM', 'Tuesday: 9:30 AM – 8:00 PM', 'Wednesday: 9:30 AM – 8:00 PM', 'Thursday: 9:30 AM – 6:00 PM', 'Friday: 9:30 AM – 6:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: 1:00 – 5:00 PM']",7,77
North Vancouver City Library,North Vancouver City Library,ChIJeafBBzhwhlQR5lBY6jLGtnY,4.6,138,"['Monday: 10:00 AM – 5:00 PM', 'Tuesday: 10:00 AM – 8:00 PM', 'Wednesday: 10:00 AM – 8:00 PM', 'Thursday: 10:00 AM – 8:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: 1:00 – 5:00 PM']",7,67
Orpheum Theatre,The Orpheum,ChIJXYebzX9xhlQRnChzu0W7GW8,4.7,2807,"['Monday: 8:00 AM – 8:00 PM', 'Tuesday: 8:00 AM – 8:00 PM', 'Wednesday: 8:00 AM – 8:00 PM', 'Thursday: 8:00 AM – 8:00 PM', 'Friday: 8:00 AM – 8:00 PM', 'Saturday: 8:00 AM – 8:00 PM', 'Sunday: 8:00 AM – 8:00 PM']",7,84
Parkgate,Parkgate Society,ChIJ2zdWmUJ6hlQReQB57hlaHKc,3.8,4,"['Monday: 8:00 AM – 6:00 PM', 'Tuesday: 8:00 AM – 6:00 PM', 'Wednesday: 8:00 AM – 6:00 PM', 'Thursday: 8:00 AM – 6:00 PM', 'Friday: 8:00 AM – 6:00 PM', 'Saturday: 9:00 AM – 5:00 PM', 'Sunday: 9:00 AM – 5:00 PM']",7,66
Poirier Branch,"Poirier Branch, Coquitlam Public Library",ChIJGcziDIp4hlQRaNwWl3wP8-s,4.5,87,"['Monday: 9:00 AM – 9:00 PM', 'Tuesday: 9:00 AM – 9:00 PM', 'Wednesday: 9:00 AM – 9:00 PM', 'Thursday: 9:00 AM – 9:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: 12:00 – 5:00 PM']",7,68
Port Moody Station Museum,Port Moody Station Museum,ChIJFU19_h15hlQRD--S5voqh_g,4.5,110,"['Monday: 10:00 AM – 5:00 PM', 'Tuesday: 10:00 AM – 5:00 PM', 'Wednesday: 10:00 AM – 5:00 PM', 'Thursday: 10:00 AM – 5:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: 10:00 AM – 5:00 PM']",7,49
Queen Elizabeth Park,Queen Elizabeth Park,ChIJIcZrTvVzhlQRiKTnD03vt7Q,4.7,10490,"['Monday: 6:00 AM – 10:00 PM', 'Tuesday: 6:00 AM – 10:00 PM', 'Wednesday: 6:00 AM – 10:00 PM', 'Thursday: 6:00 AM – 10:00 PM', 'Friday: 6:00 AM – 10:00 PM', 'Saturday: 6:00 AM – 10:00 PM', 'Sunday: 6:00 AM – 10:00 PM']",7,112
Remington Gallery And Studio,Doris,ChIJRyBOjnBxhlQROcEP-N6V6yc,4.7,7,"['Monday: 8:00 AM – 10:00 PM', 'Tuesday: 8:00 AM – 10:00 PM', 'Wednesday: 8:00 AM – 10:00 PM', 'Thursday: 8:00 AM – 10:00 PM', 'Friday: 8:00 AM – 10:00 PM', 'Saturday: 8:00 AM – 10:00 PM', 'Sunday: 8:00 AM – 10:00 PM']",7,98
Renfrew Branch,"Vancouver Public Library, Renfrew Branch",ChIJlUfD98d2hlQR9ljoqZ6DJ4g,4.4,70,"['Monday: 10:00 AM – 9:00 PM', 'Tuesday: 10:00 AM – 9:00 PM', 'Wednesday: 10:00 AM – 9:00 PM', 'Thursday: 10:00 AM – 9:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: 10:00 AM – 6:00 PM']",7,68
Richmond Nature Park,Richmond Nature Park,ChIJBU91Ump1hlQRNhss6L2V8s4,4.4,798,"['Monday: 7:00 AM – 6:00 PM', 'Tuesday: 7:00 AM – 6:00 PM', 'Wednesday: 7:00 AM – 6:00 PM', 'Thursday: 7:00 AM – 6:00 PM', 'Friday: 7:00 AM – 6:00 PM', 'Saturday: 7:00 AM – 6:00 PM', 'Sunday: 7:00 AM – 6:00 PM']",7,77
Rickshaw Theatre,Rickshaw Theatre,ChIJD3NnrXFxhlQRWqziQZQhHHw,4.4,874,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: 10:00 AM – 6:00 PM']",7,56
