"fromId","type","time_groups","pop"
"59150017005","library or archives","30",24
"59150017005","museum","45",24
"59150017005","theatre/performance and concert hall","60",24
"59150017009","gallery","45",252
"59150017009","library or archives","45",252
"59150017009","museum","45",252
"59150017009","theatre/performance and concert hall","60",252
"59150018001","gallery","45",28
"59150018001","library or archives","30",28
"59150018001","museum","45",28
"59150018001","theatre/performance and concert hall","60",28
"59150018005","gallery","30",52
"59150018005","library or archives","30",52
"59150018005","museum","30",52
"59150018005","theatre/performance and concert hall","60",52
"59150018006","gallery","45",26
"59150018006","library or archives","30",26
"59150018006","museum","30",26
"59150018006","theatre/performance and concert hall","60",26
"59150018007","gallery","30",29
"59150018007","library or archives","30",29
"59150018007","museum","30",29
"59150018007","theatre/performance and concert hall","60",29
"59150018008","gallery","45",99
"59150018008","library or archives","30",99
"59150018008","museum","45",99
"59150018008","theatre/performance and concert hall","60",99
"59150018009","gallery","30",75
"59150018009","library or archives","30",75
"59150018009","museum","30",75
"59150018009","theatre/performance and concert hall","60",75
"59150018010","gallery","30",188
"59150018010","library or archives","30",188
"59150018010","museum","30",188
"59150018010","theatre/performance and concert hall","60",188
"59150018011","gallery","45",44
"59150018011","library or archives","45",44
"59150018011","museum","45",44
"59150018011","theatre/performance and concert hall","60",44
"59150019001","gallery","90+",73
"59150019001","library or archives","90+",73
"59150019001","museum","90+",73
"59150019001","theatre/performance and concert hall","90+",73
"59150019002","gallery","45",188
"59150019002","library or archives","45",188
"59150019002","museum","45",188
"59150019002","theatre/performance and concert hall","75",188
"59150019003","gallery","45",48
"59150019003","library or archives","30",48
"59150019003","museum","45",48
"59150019003","theatre/performance and concert hall","60",48
"59150019004","gallery","45",0
"59150019004","library or archives","30",0
"59150019004","museum","45",0
"59150019004","theatre/performance and concert hall","60",0
"59150019005","gallery","45",237
"59150019005","library or archives","45",237
"59150019005","museum","45",237
"59150019005","theatre/performance and concert hall","75",237
"59150019006","gallery","45",36
"59150019006","library or archives","30",36
"59150019006","museum","30",36
"59150019006","theatre/performance and concert hall","60",36
"59150019007","gallery","90+",15
"59150019007","library or archives","90+",15
"59150019007","museum","90+",15
"59150019007","theatre/performance and concert hall","90+",15
"59150020001","gallery","60",33
"59150020001","library or archives","45",33
"59150020001","museum","60",33
"59150020001","theatre/performance and concert hall","75",33
"59150020002","gallery","60",184
"59150020002","library or archives","60",184
"59150020002","museum","60",184
"59150020002","theatre/performance and concert hall","75",184
"59150020003","gallery","60",172
"59150020003","library or archives","45",172
"59150020003","museum","60",172
"59150020003","theatre/performance and concert hall","75",172
"59150021001","gallery","45",207
"59150021001","library or archives","45",207
"59150021001","museum","45",207
"59150021001","theatre/performance and concert hall","60",207
"59150021005","gallery","45",25
"59150021005","library or archives","30",25
"59150021005","museum","45",25
"59150021005","theatre/performance and concert hall","60",25
"59150021006","gallery","45",55
"59150021006","library or archives","45",55
"59150021006","museum","45",55
"59150021006","theatre/performance and concert hall","60",55
"59150022001","gallery","45",90
"59150022001","library or archives","45",90
"59150022001","museum","45",90
"59150022001","theatre/performance and concert hall","75",90
"59150022002","gallery","45",129
"59150022002","library or archives","45",129
"59150022002","museum","45",129
"59150022002","theatre/performance and concert hall","60",129
"59150022003","gallery","45",73
"59150022003","library or archives","45",73
"59150022003","museum","45",73
"59150022003","theatre/performance and concert hall","60",73
"59150023001","gallery","60",54
"59150023001","library or archives","45",54
"59150023001","museum","60",54
"59150023001","theatre/performance and concert hall","75",54
"59150023005","gallery","45",5
"59150023005","library or archives","45",5
"59150023005","museum","45",5
"59150023005","theatre/performance and concert hall","60",5
"59150023010","gallery","45",82
"59150023010","library or archives","45",82
"59150023010","museum","45",82
"59150023010","theatre/performance and concert hall","60",82
"59150023011","gallery","45",413
"59150023011","library or archives","45",413
"59150023011","museum","45",413
"59150023011","theatre/performance and concert hall","75",413
"59150024001","gallery","45",0
"59150024001","library or archives","45",0
"59150024001","museum","45",0
"59150024001","theatre/performance and concert hall","60",0
"59150024002","gallery","45",15
"59150024002","library or archives","45",15
"59150024002","museum","45",15
"59150024002","theatre/performance and concert hall","60",15
"59150024005","gallery","45",86
"59150024005","library or archives","45",86
"59150024005","museum","45",86
"59150024005","theatre/performance and concert hall","60",86
"59150024006","gallery","45",83
"59150024006","library or archives","45",83
"59150024006","museum","45",83
"59150024006","theatre/performance and concert hall","60",83
"59150024012","gallery","45",42
"59150024012","library or archives","45",42
"59150024012","museum","45",42
"59150024012","theatre/performance and concert hall","60",42
"59150024015","gallery","45",0
"59150024015","library or archives","45",0
"59150024015","museum","45",0
"59150024015","theatre/performance and concert hall","60",0
"59150024016","gallery","45",32
"59150024016","library or archives","45",32
"59150024016","museum","45",32
"59150024016","theatre/performance and concert hall","60",32
"59150024017","gallery","45",84
"59150024017","library or archives","45",84
"59150024017","museum","45",84
"59150024017","theatre/performance and concert hall","60",84
"59150025001","gallery","45",87
"59150025001","library or archives","45",87
"59150025001","museum","45",87
"59150025001","theatre/performance and concert hall","75",87
"59150025004","gallery","45",32
"59150025004","library or archives","45",32
"59150025004","museum","45",32
"59150025004","theatre/performance and concert hall","60",32
"59150025007","gallery","45",68
"59150025007","library or archives","45",68
"59150025007","museum","45",68
"59150025007","theatre/performance and concert hall","60",68
"59150025008","gallery","45",286
"59150025008","library or archives","45",286
"59150025008","museum","45",286
"59150025008","theatre/performance and concert hall","60",286
"59150025009","gallery","45",119
"59150025009","library or archives","45",119
"59150025009","museum","45",119
"59150025009","theatre/performance and concert hall","75",119
"59150025010","gallery","45",17
"59150025010","library or archives","45",17
"59150025010","museum","45",17
"59150025010","theatre/performance and concert hall","60",17
"59150027004","gallery","30",512
"59150027004","library or archives","30",512
"59150027004","museum","30",512
"59150027004","theatre/performance and concert hall","45",512
"59150027005","gallery","30",55
"59150027005","library or archives","30",55
"59150027005","museum","30",55
"59150027005","theatre/performance and concert hall","45",55
"59150028001","gallery","30",30
"59150028001","library or archives","30",30
"59150028001","museum","30",30
"59150028001","theatre/performance and concert hall","45",30
"59150028012","gallery","30",123
"59150028012","library or archives","15",123
"59150028012","museum","30",123
"59150028012","theatre/performance and concert hall","45",123
"59150028013","gallery","30",66
"59150028013","library or archives","15",66
"59150028013","museum","30",66
"59150028013","theatre/performance and concert hall","45",66
"59150028014","gallery","30",25
"59150028014","library or archives","30",25
"59150028014","museum","30",25
"59150028014","theatre/performance and concert hall","45",25
"59150028015","gallery","30",19
"59150028015","library or archives","30",19
"59150028015","museum","30",19
"59150028015","theatre/performance and concert hall","45",19
"59150028017","gallery","30",60
"59150028017","library or archives","30",60
"59150028017","museum","30",60
"59150028017","theatre/performance and concert hall","45",60
"59150028018","gallery","30",109
"59150028018","library or archives","30",109
"59150028018","museum","30",109
"59150028018","theatre/performance and concert hall","45",109
"59150028019","gallery","30",10
"59150028019","library or archives","15",10
"59150028019","museum","15",10
"59150028019","theatre/performance and concert hall","45",10
"59150029001","gallery","30",30
"59150029001","library or archives","30",30
"59150029001","museum","30",30
"59150029001","theatre/performance and concert hall","45",30
"59150029002","gallery","30",61
"59150029002","library or archives","30",61
"59150029002","museum","30",61
"59150029002","theatre/performance and concert hall","45",61
"59150029003","gallery","30",29
"59150029003","library or archives","30",29
"59150029003","museum","30",29
"59150029003","theatre/performance and concert hall","45",29
"59150029005","gallery","30",55
"59150029005","library or archives","30",55
"59150029005","museum","30",55
"59150029005","theatre/performance and concert hall","45",55
"59150029006","gallery","30",71
"59150029006","library or archives","30",71
"59150029006","museum","30",71
"59150029006","theatre/performance and concert hall","45",71
"59150029007","gallery","30",66
"59150029007","library or archives","30",66
"59150029007","museum","30",66
"59150029007","theatre/performance and concert hall","45",66
"59150029008","gallery","30",15
"59150029008","library or archives","30",15
"59150029008","museum","30",15
"59150029008","theatre/performance and concert hall","45",15
"59150029010","gallery","30",96
"59150029010","library or archives","30",96
"59150029010","museum","30",96
"59150029010","theatre/performance and concert hall","45",96
"59150030001","gallery","45",19
"59150030001","library or archives","30",19
"59150030001","museum","30",19
"59150030001","theatre/performance and concert hall","60",19
"59150030004","gallery","30",21
"59150030004","library or archives","30",21
"59150030004","museum","30",21
"59150030004","theatre/performance and concert hall","60",21
"59150030005","gallery","30",61
"59150030005","library or archives","30",61
"59150030005","museum","30",61
"59150030005","theatre/performance and concert hall","60",61
"59150030006","gallery","30",49
"59150030006","library or archives","30",49
"59150030006","museum","30",49
"59150030006","theatre/performance and concert hall","60",49
"59150030007","gallery","45",68
