"fromId","type","time_groups","pop"
"2.9223991849632e-313","library or archives","30",188
"2.9223991849632e-313","museum","30",188
"2.9223991849632e-313","theatre/performance and concert hall","60",188
"2.92239918501261e-313","gallery","45",44
"2.92239918501261e-313","library or archives","45",44
"2.92239918501261e-313","museum","45",44
"2.92239918501261e-313","theatre/performance and concert hall","60",44
"2.92239923392511e-313","gallery","90+",73
"2.92239923392511e-313","library or archives","90+",73
"2.92239923392511e-313","museum","90+",73
"2.92239923392511e-313","theatre/performance and concert hall","90+",73
"2.92239923397451e-313","gallery","45",188
"2.92239923397451e-313","library or archives","45",188
"2.92239923397451e-313","museum","45",188
"2.92239923397451e-313","theatre/performance and concert hall","75",188
"2.92239923402392e-313","gallery","45",48
"2.92239923402392e-313","library or archives","30",48
"2.92239923402392e-313","museum","45",48
"2.92239923402392e-313","theatre/performance and concert hall","60",48
"2.92239923407333e-313","gallery","45",0
"2.92239923407333e-313","library or archives","30",0
"2.92239923407333e-313","museum","45",0
"2.92239923407333e-313","theatre/performance and concert hall","60",0
"2.92239923412273e-313","gallery","45",237
"2.92239923412273e-313","library or archives","45",237
"2.92239923412273e-313","museum","45",237
"2.92239923412273e-313","theatre/performance and concert hall","75",237
"2.92239923417214e-313","gallery","45",36
"2.92239923417214e-313","library or archives","30",36
"2.92239923417214e-313","museum","30",36
"2.92239923417214e-313","theatre/performance and concert hall","60",36
"2.92239923422155e-313","gallery","90+",15
"2.92239923422155e-313","library or archives","90+",15
"2.92239923422155e-313","museum","90+",15
"2.92239923422155e-313","theatre/performance and concert hall","90+",15
"2.92239928333167e-313","gallery","60",33
"2.92239928333167e-313","library or archives","45",33
"2.92239928333167e-313","museum","60",33
"2.92239928333167e-313","theatre/performance and concert hall","75",33
"2.92239928338108e-313","gallery","60",184
"2.92239928338108e-313","library or archives","60",184
"2.92239928338108e-313","museum","60",184
"2.92239928338108e-313","theatre/performance and concert hall","75",184
"2.92239928343048e-313","gallery","60",172
"2.92239928343048e-313","library or archives","45",172
"2.92239928343048e-313","museum","60",172
"2.92239928343048e-313","theatre/performance and concert hall","75",172
"2.92239933273824e-313","gallery","45",207
"2.92239933273824e-313","library or archives","45",207
"2.92239933273824e-313","museum","45",207
"2.92239933273824e-313","theatre/performance and concert hall","60",207
"2.92239933293586e-313","gallery","45",25
"2.92239933293586e-313","library or archives","30",25
"2.92239933293586e-313","museum","45",25
"2.92239933293586e-313","theatre/performance and concert hall","60",25
